,1,2,3,4,5
270,1447.7,1198.8,,,
271,1447.7,1208.7,,,
272,1447.7,1218.5,,,
273,1447.7,1228.4,,,
274,1447.7,1238.2,,,
275,1447.7,1248.1,,,
276,1447.7,1257.9,,,
277,1447.7,1267.8,,,
278,1447.7,1277.7,,,
279,1447.7,1287.5,,,
280,1447.7,1297.4,,,
281,1447.7,1307.2,,,
282,1447.7,1317.1,,,
283,1447.7,1326.9,,,
284,1447.7,1336.8,,,
285,1447.7,1346.6,,,
286,1447.7,1356.5,,,
287,1447.7,1366.3,,,
288,1447.7,1376.2,,,
289,1447.7,1386,,,
290,1447.7,1395.9,,,
291,1447.7,1405.7,,,
292,1447.7,1415.6,,,
293,1447.7,1425.4,,,
294,1447.7,1435.3,,,
295,1447.7,1445.1,,,
296,1447.7,1455,,,
297,1447.7,1458.1,6.8,,
298,1447.7,1458.1,16.6,,
299,1447.7,1458.1,26.5,,
300,1447.7,1458.1,36.3,,
301,1447.7,1458.1,46.2,,
302,1447.7,1458.1,56,,
303,1447.7,1458.1,65.9,,
304,1447.7,1458.1,75.7,,
305,1447.7,1458.1,85.6,,
306,1447.7,1458.1,95.4,,
307,1447.7,1458.1,105.3,,
308,1447.7,1458.1,115.1,,
309,1447.7,1458.1,125,,
310,1447.7,1458.1,134.8,,
311,1447.7,1458.1,144.7,,
312,1447.7,1458.1,154.5,,
313,1447.7,1458.1,164.4,,
314,1447.7,1458.1,174.2,,
315,1447.7,1458.1,184.1,,
316,1447.7,1458.1,193.9,,
317,1447.7,1458.1,203.8,,
318,1447.7,1458.1,213.6,,
319,1447.7,1458.1,223.5,,
320,1447.7,1458.1,233.3,,
321,1447.7,1458.1,243.2,,
322,1447.7,1458.1,253,,
323,1447.7,1458.1,262.9,,
324,1447.7,1458.1,272.7,,
325,1447.7,1458.1,282.6,,
326,1447.7,1458.1,292.5,,
327,1447.7,1458.1,302.3,,
328,1447.7,1458.1,312.2,,
329,1447.7,1458.1,322,,
330,1447.7,1458.1,331.9,,
331,1447.7,1458.1,341.7,,
332,1447.7,1458.1,351.6,,
333,1447.7,1458.1,361.4,,
334,1447.7,1458.1,371.3,,
335,1447.7,1458.1,381.1,,
336,1447.7,1458.1,391,,
337,1447.7,1458.1,400.8,,
338,1447.7,1458.1,410.7,,
339,1447.7,1458.1,420.5,,
340,1447.7,1458.1,430.4,,
341,1447.7,1458.1,440.2,,
342,1447.7,1458.1,450.1,,
343,1447.7,1458.1,459.9,,
344,1447.7,1458.1,469.8,,
345,1447.7,1458.1,479.6,,
346,1447.7,1458.1,489.5,,
347,1447.7,1458.1,499.3,,
348,1447.7,1458.1,509.2,,
349,1447.7,1458.1,519,,
350,1447.7,1458.1,528.9,,
351,1447.7,1458.1,538.8,,
352,1447.7,1458.1,548.6,,
353,1447.7,1458.1,558.5,,
354,1447.7,1458.1,568.3,,
355,1447.7,1458.1,578.2,,
356,1447.7,1458.1,588,,
357,1447.7,1458.1,597.9,,
358,1447.7,1458.1,607.7,,
359,1447.7,1458.1,617.6,,
360,1447.7,1458.1,627.4,,
361,1447.7,1458.1,637.3,,
362,1447.7,1458.1,647.1,,
363,1447.7,1458.1,657,,
364,1447.7,1458.1,666.8,,
365,1447.7,1458.1,676.7,,
366,1447.7,1458.1,686.5,,
367,1447.7,1458.1,696.4,,
368,1447.7,1458.1,706.2,,
