wire_number,A,B
8,5.380597241738605,5.271542615416759
9,5.2292140710668535,5.135352051504069
10,5.264174457587015,4.276777042714238
11,5.114390475327917,3.7779174753593434
12,5.723123523464837,4.622466695203932
13,5.7900842254848035,4.5836023752667305
14,5.609005642609106,4.786391431547991
15,6.117163165272616,5.333457208818106
16,5.924944200970611,5.189080698235491
17,5.971723434724246,5.502063923466726
18,6.175403451041243,4.746671500095741
19,5.983247091778716,5.210164497209327
20,5.763966715358429,5.206066955930035
21,5.592407230667817,5.137540019027753
22,5.775715309787904,5.3951852508192975
23,5.716112402700242,4.944948110790287
24,5.96329063754941,4.751942287256681
25,5.420508431803642,4.806791984369675
26,5.732072136636767,5.338269617325976
27,5.773031876908146,5.389066741373224
28,5.492752434124264,5.3392334292631025
29,5.647693652966878,5.321734349134357
30,5.768961577019847,5.3855786216390555
31,5.95677145564573,4.673439238451369
32,5.838633130085582,3.745037900854307
33,5.5485443164384876,5.5488496619561625
34,5.673826379733559,3.9236447042394396
35,6.003707217360268,5.587791132556363
36,5.964351826525662,5.540571044628822
37,5.791229765633975,5.360030218054969
38,5.784834329422171,6.228371208761471
39,5.963051466851903,4.63808016482614
40,5.321211569684652,5.843070633704067
41,5.8763999420540385,4.980696697194005
42,5.860214716648395,4.934574160268466
43,6.255483938992617,5.201580831081618
44,6.174571665868814,5.034182722013167
45,6.027057251456968,5.993117533053641
46,5.705987974697605,5.828022454520183
47,5.783705281699707,5.100892518364105
48,5.548849713016464,6.05773017509714
49,5.766828895204977,5.638725222426577
50,5.774111839782227,5.339258682104142
51,5.549599024420108,6.006468481327377
52,5.596109037686322,6.4856594026297225
53,5.573707741730698,6.187125051754182
54,5.595036464319195,6.539078248053081
55,5.548850411280796,6.957593611970482
56,5.783058284115956,5.935807332072408
57,5.510239427055653,6.6935667548963185
58,5.606815316451891,6.228371274742328
59,4.573207147973041,6.991104706131775
60,5.507302620238083,6.165411532298822
61,5.767672084164491,6.700531453172355
62,5.737406562365472,6.72488421173902
63,5.7930500260304765,5.189435211730937
64,5.548964793057753,5.470746944928858
65,5.611005790335752,5.937916613052481
66,5.9538659569122405,5.651864875477861
67,5.910106734792541,6.021169468645362
68,5.682743368618877,6.234365452073988
69,5.752041048121273,5.993089842590595
70,5.43739024812255,5.766694654030737
71,5.31205457959046,5.783759304387639
72,5.461269782330073,5.770064088111465
73,5.375843651432555,5.917264192834258
74,5.064741188488332,5.653926444297642
75,5.511534195115964,5.493725108612885
76,5.255112191762654,5.975577493017384
77,5.358113281199928,5.787002262691506
78,5.339233345541498,5.774922628958673
79,5.2997097904343295,5.993084611822266
80,5.273876461927116,5.8223085813411615
81,5.693822111010672,5.99356066990982
