wire_number,baseline_json_B,reversed_json_B,reversed_shift_-1_json_B,baseline_mapped_wire,reversed_mapped_wire,reversed_shift_-1_mapped_wire,baseline_residual_B,reversed_residual_B,reversed_shift_-1_residual_B
52,6.43,6.1,6.27,52.0,430.0,429.0,-0.5069110013346734,-0.1769110013346733,-0.34691100133467323
53,6.43,6.27,5.99,53.0,429.0,428.0,0.12683257963892647,0.2868325796389266,0.566832579638926
54,6.46,5.99,6.08,54.0,428.0,427.0,-0.9759628235238802,-0.5059628235238804,-0.5959628235238803
55,6.35,6.08,6.33,55.0,427.0,426.0,-0.027575895982917764,0.2424241040170818,-0.0075758959829181904
56,6.92,6.33,6.35,56.0,426.0,425.0,-0.5925841423113534,-0.00258414231135351,-0.022584142311353084
57,6.75,6.35,6.43,57.0,425.0,424.0,-0.7987825835817759,-0.39878258358177554,-0.4787825835817756
58,6.05,6.43,5.86,58.0,424.0,423.0,0.09762132790680944,-0.28237867209319045,0.28762132790680894
59,6.85,5.86,5.96,59.0,423.0,422.0,-1.0067004901864776,-0.016700490186478234,-0.11670049018647788
60,6.27,5.96,6.35,60.0,422.0,421.0,-0.1365792162516959,0.17342078374830372,-0.21657921625169596
61,6.67,6.35,5.92,61.0,421.0,420.0,-0.6121571316956373,-0.29215713169563706,0.13784286830436265
62,6.14,5.92,6.19,62.0,420.0,419.0,0.07758504028467161,0.29758504028467136,0.027585040284670903
63,6.38,6.19,6.03,63.0,419.0,418.0,-0.6523728977634136,-0.46237289776341406,-0.3023728977634139
64,6.69,6.03,6.0,64.0,418.0,417.0,-1.185907979834437,-0.5259079798344368,-0.4959079798344366
65,6.52,6.0,6.03,65.0,417.0,416.0,-0.5813903799828424,-0.0613903799828428,-0.09139037998284305
66,6.06,6.03,5.89,66.0,416.0,415.0,0.24698516551758054,0.2769851655175799,0.41698516551758047
67,6.57,5.89,6.17,67.0,415.0,414.0,-0.9404400986370351,-0.26044009863703454,-0.5404400986370348
68,6.44,6.17,5.94,68.0,414.0,413.0,-0.7624442352530307,-0.49244423525303027,-0.26244423525303073
69,6.32,5.94,5.92,69.0,413.0,412.0,-0.45231833293521184,-0.07231833293521195,-0.05231833293521149
70,6.51,5.92,5.91,70.0,412.0,411.0,-0.4511328441571747,0.13886715584282516,0.14886715584282495
71,6.4,5.91,5.82,71.0,411.0,410.0,-0.9159662429230151,-0.4259662429230149,-0.335966242923015
72,6.13,5.82,5.91,72.0,410.0,409.0,-0.7146371170253856,-0.40463711702538596,-0.4946371170253858
73,6.98,5.91,5.97,73.0,409.0,408.0,-0.5827365124499657,0.48726348755003457,0.42726348755003496
74,6.36,5.97,5.77,74.0,408.0,407.0,-0.4363909734918776,-0.04639097349187704,0.15360902650812314
75,6.19,5.77,5.73,75.0,407.0,406.0,-0.21978279174198168,0.20021720825801914,0.2402172082580183
76,6.43,5.73,5.88,76.0,406.0,405.0,-0.9385037179988132,-0.23850371799881387,-0.38850371799881334
77,6.06,5.88,5.79,77.0,405.0,404.0,-0.3606597739824595,-0.1806597739824598,-0.09065977398245995
78,6.14,5.79,5.92,78.0,404.0,403.0,-0.2590837421573413,0.09091625784265833,-0.03908374215734156
79,6.4,5.92,6.1,79.0,403.0,402.0,-0.2509835428529126,0.22901645714708785,0.04901645714708813
80,6.24,6.1,6.03,80.0,402.0,401.0,-0.04684935948695568,0.09315064051304489,0.1631506405130443
81,6.06,6.03,6.05,81.0,401.0,400.0,-0.04462869485720056,-0.014628694857201197,-0.03462869485720077
82,6.21,6.05,6.19,82.0,400.0,399.0,-0.01707101648183862,0.14292898351816152,0.0029289835181609547
83,6.13,6.19,6.24,83.0,399.0,398.0,0.021805983284186148,-0.03819401671581435,-0.08819401671581417
84,6.17,6.24,5.94,84.0,398.0,397.0,0.03873955152195574,-0.031260448478044545,0.2687395515219553
85,6.1,5.94,6.08,85.0,397.0,396.0,0.2837684605136568,0.44376846051365604,0.30376846051365636
86,6.14,6.08,5.82,86.0,396.0,395.0,0.019221640525163508,0.07922164052516312,0.3392216405251629
87,6.28,5.82,5.89,87.0,395.0,394.0,0.605108688397701,1.065108688397701,0.9951086883977016
88,6.32,5.89,6.05,88.0,394.0,393.0,-0.0038158761056310553,0.42618412389436955,0.2661841238943694
89,6.03,6.05,5.97,89.0,393.0,392.0,0.3000447255156642,0.2800447255156646,0.3600447255156647
90,6.27,5.97,5.79,90.0,392.0,391.0,-0.0959203411035654,0.20407965889643442,0.38407965889643414
91,6.43,5.79,5.79,91.0,391.0,390.0,-0.6173068767067598,0.022693123293239914,0.022693123293239914
92,6.08,5.79,5.41,92.0,390.0,389.0,-0.4878563643699394,-0.19785636436993936,0.18214363563006053
93,6.05,5.41,5.76,93.0,389.0,388.0,0.7480861757517205,1.3880861757517202,1.0380861757517206
94,6.51,5.76,5.7,94.0,388.0,387.0,-0.6824214469610999,0.06757855303890015,0.12757855303889976
95,6.36,5.7,5.89,95.0,387.0,386.0,-0.8970561546754485,-0.23705615467544838,-0.4270561546754479
96,6.43,5.89,5.52,96.0,386.0,385.0,-0.9012385841507129,-0.36123858415071286,0.008761415849287246
97,6.38,5.52,5.68,97.0,385.0,384.0,-1.103111839400472,-0.24311183940047165,-0.4031118394004718
98,6.02,5.68,5.74,98.0,384.0,383.0,0.007570340956685406,0.34757034095668526,0.28757034095668477
99,6.1,5.74,5.89,99.0,383.0,382.0,0.02728323740627392,0.38728323740627335,0.23728323740627388
100,6.3,5.89,5.89,100.0,382.0,381.0,-0.6401141193689686,-0.23011411936896842,-0.23011411936896842
101,6.06,5.89,6.0,101.0,381.0,380.0,-0.49520809167125357,-0.32520809167125364,-0.43520809167125396
102,6.48,6.0,6.02,102.0,380.0,379.0,-0.8528488028884373,-0.3728488028884369,-0.3928488028884365
103,6.27,6.02,6.03,103.0,379.0,378.0,-0.8725723336251239,-0.6225723336251239,-0.6325723336251245
104,5.79,6.03,5.86,104.0,378.0,377.0,0.28970711529196613,0.04970711529196592,0.21970711529196585
105,6.21,5.86,6.21,105.0,377.0,376.0,0.22255327736303165,0.5725532773630313,0.22255327736303165
106,6.28,6.21,5.99,106.0,376.0,375.0,-0.5267236196962104,-0.4567236196962101,-0.23672361969621036
107,6.19,5.99,6.06,107.0,375.0,374.0,0.12569362080516466,0.32569362080516484,0.25569362080516544
108,6.4,6.06,6.16,108.0,374.0,373.0,-0.7974351496534027,-0.45743514965340193,-0.5574351496534025
109,6.49,6.16,5.86,109.0,373.0,372.0,-0.32940124368959545,0.0005987563104046245,0.30059875631040445
110,6.38,5.86,6.13,110.0,372.0,371.0,-1.103127492309956,-0.5831274923099565,-0.8531274923099561
111,5.88,6.13,5.97,111.0,371.0,370.0,-0.3959628235238801,-0.6459628235238801,-0.48596282352388
112,6.46,5.97,5.86,112.0,370.0,369.0,-1.0549516910561074,-0.5649516910561072,-0.4549516910561078
113,6.24,5.86,5.79,113.0,369.0,368.0,-0.13778690176976927,0.24221309823023063,0.3122130982302309
114,6.22,5.79,5.65,114.0,368.0,367.0,-0.6282868224048022,-0.19828682240480244,-0.05828682240480276
115,6.24,5.65,5.67,115.0,367.0,366.0,-0.9835526099130156,-0.39355260991301577,-0.41355260991301535
116,6.21,5.67,5.77,116.0,366.0,365.0,-0.9624180275787353,-0.42241802757873526,-0.5224180275787349
117,6.49,5.77,5.85,117.0,365.0,364.0,-1.1091648259256015,-0.38916482592560087,-0.46916482592560094
118,6.4,5.85,5.7,118.0,364.0,363.0,-1.0658566308242357,-0.5158566308242349,-0.3658566308242355
119,6.1,5.7,5.97,119.0,363.0,362.0,-1.073725720031856,-0.6737257200318565,-0.9437257200318561
120,6.49,5.97,5.97,120.0,362.0,361.0,-0.55203560011077,-0.03203560011076956,-0.03203560011076956
121,6.49,5.97,5.79,121.0,361.0,360.0,-0.7906620978997045,-0.2706620978997041,-0.09066209789970436
122,6.24,5.79,5.82,122.0,360.0,359.0,-0.9469870938367695,-0.4969870938367693,-0.5269870938367696
123,5.92,5.82,5.88,123.0,359.0,358.0,0.5411932406213324,0.6411932406213321,0.5811932406213325
124,5.97,5.88,5.65,124.0,358.0,357.0,-0.2721098062485341,-0.18210980624853423,0.047890193751465304
125,6.05,5.65,5.79,125.0,357.0,356.0,-0.3323849663822225,0.06761503361777699,-0.07238496638222269
126,6.03,5.79,5.65,126.0,356.0,355.0,-0.10070827121491721,0.139291728785083,0.2792917287850827
127,6.22,5.65,5.79,127.0,355.0,354.0,0.14917352579687915,0.7191735257968785,0.5791735257968789
128,6.13,5.79,5.85,128.0,354.0,353.0,-0.2069169240715638,0.13308307592843605,0.07308307592843644
129,6.02,5.85,5.73,129.0,353.0,352.0,0.1763608722177059,0.34636087221770584,0.46636087221770506
130,6.11,5.73,5.89,130.0,352.0,351.0,0.06687607327834932,0.4468760732783492,0.28687607327834996
131,5.88,5.89,6.06,131.0,351.0,350.0,-0.26354548413362355,-0.27354548413362334,-0.44354548413362327
132,6.11,6.06,6.02,132.0,350.0,349.0,-0.346210658618312,-0.2962106586183113,-0.25621065861831127
133,6.35,6.02,5.88,133.0,349.0,348.0,0.11656745380053746,0.44656745380053753,0.5865674538005372
134,5.97,5.88,5.79,134.0,348.0,347.0,0.5578381854368129,0.6478381854368127,0.7378381854368126
135,6.33,5.79,6.02,135.0,347.0,346.0,-0.013132075678176314,0.5268679243218237,0.2968679243218242
136,5.86,6.02,5.76,136.0,346.0,345.0,-0.39182646758976514,-0.5518264675897644,-0.2918264675897646
137,6.05,5.76,5.89,137.0,345.0,344.0,-0.11851550818645151,0.17148449181354852,0.04148449181354863
138,6.03,5.89,5.99,138.0,344.0,343.0,0.001768929510535422,0.141768929510536,0.04176892951053546
139,6.14,5.99,6.06,139.0,343.0,342.0,-0.4391154262133794,-0.28911542621337993,-0.35911542621337933
140,5.83,6.06,5.62,140.0,342.0,341.0,-0.7867925373416327,-1.0167925373416322,-0.5767925373416327
141,5.76,5.62,5.82,141.0,341.0,340.0,-0.024988936769486436,0.11501106323051324,-0.08498893676948693
142,5.86,5.82,5.74,142.0,340.0,339.0,-0.5147772263744255,-0.47477722637442543,-0.39477722637442536
143,6.22,5.74,6.05,143.0,339.0,338.0,-0.33925606806998765,0.1407439319300119,-0.16925606806998772
144,6.08,6.05,6.21,144.0,338.0,337.0,-0.3053933641682356,-0.27539336416823534,-0.4353933641682355
145,5.83,6.21,6.03,145.0,337.0,336.0,-0.34595370512097734,-0.7259537051209772,-0.5459537051209775
146,5.79,6.03,6.03,146.0,336.0,335.0,-0.2681659860338321,-0.5081659860338323,-0.5081659860338323
147,6.05,6.03,6.05,147.0,335.0,334.0,-0.56596282352388,-0.5459628235238805,-0.56596282352388
148,5.74,6.05,6.0,148.0,334.0,333.0,0.8858706410440442,0.5758706410440446,0.6258706410440444
149,5.91,6.0,6.11,149.0,333.0,332.0,0.414868323831838,0.32486832383183817,0.21486832383183785
150,5.89,6.11,5.96,150.0,332.0,331.0,0.16057112078594216,-0.05942887921405848,0.09057112078594187
151,5.91,5.96,6.08,151.0,331.0,330.0,0.013081891381412802,-0.03691810861858702,-0.15691810861858713
152,5.73,6.08,6.14,152.0,330.0,329.0,-0.030663259858147995,-0.38066325985814764,-0.44066325985814725
153,5.79,6.14,5.77,153.0,329.0,328.0,-0.5228177735943813,-0.872817773594381,-0.5028177735943808
154,6.16,5.77,6.0,154.0,328.0,327.0,-0.17927113736976974,0.21072886263023083,-0.019271137369769598
155,6.11,6.0,5.73,155.0,327.0,326.0,-0.4098603183360847,-0.2998603183360844,-0.029860318336084823
156,5.94,5.73,5.97,156.0,326.0,325.0,0.3379467136369234,0.5479467136369234,0.30794671363692405
157,5.77,5.97,5.89,157.0,325.0,324.0,0.500602503049997,0.3006025030499968,0.3806025030499969
158,5.88,5.89,5.92,158.0,324.0,323.0,-0.41477615488227837,-0.42477615488227816,-0.4547761548822784
159,5.89,5.92,5.92,159.0,323.0,322.0,-0.7079223008215738,-0.7379223008215741,-0.7379223008215741
160,5.79,5.92,5.89,160.0,322.0,321.0,-0.03999083129250991,-0.1699908312925098,-0.13999083129250955
161,5.91,5.89,5.76,161.0,321.0,320.0,0.08663227124405726,0.10663227124405772,0.2366322712440576
162,6.03,5.76,5.82,162.0,320.0,319.0,-0.7320085338482354,-0.4620085338482349,-0.5220085338482354
163,5.99,5.82,5.61,163.0,319.0,318.0,-0.7329366160618243,-0.5629366160618243,-0.35293661606182436
164,5.96,5.61,5.64,164.0,318.0,317.0,-0.649759952728096,-0.2997599527280963,-0.32975995272809566
165,5.92,5.64,5.62,165.0,317.0,316.0,-0.7450330661127307,-0.46503306611273043,-0.44503306611273086
166,5.77,5.62,5.7,166.0,316.0,315.0,0.31793542659528384,0.4679354265952833,0.38793542659528324
167,5.96,5.7,6.05,167.0,315.0,314.0,-0.036863619332933695,0.2231363806670661,-0.12686361933293355
168,5.68,6.05,5.73,168.0,314.0,313.0,-0.6024371511374387,-0.9724371511374388,-0.6524371511374394
169,5.35,5.73,5.85,169.0,313.0,312.0,0.10032939978524258,-0.2796706002147582,-0.3996706002147574
170,5.92,5.85,5.85,170.0,312.0,311.0,-0.7198765233390052,-0.6498765233390049,-0.6498765233390049
171,5.97,5.85,5.94,171.0,311.0,310.0,-0.19308784050445205,-0.07308784050445194,-0.16308784050445269
172,5.92,5.94,5.74,172.0,310.0,309.0,-0.6763575451671047,-0.6963575451671051,-0.49635754516710495
173,6.02,5.74,5.91,173.0,309.0,308.0,-0.002324556644533793,0.27767544335546557,0.10767544335546564
174,5.99,5.91,5.68,174.0,308.0,307.0,-0.8767457584190961,-0.796745758419096,-0.5667457584190956
175,6.22,5.68,6.06,175.0,307.0,306.0,-0.5159284584322315,0.024071541567768584,-0.3559284584322313
176,5.76,6.06,5.73,176.0,306.0,305.0,-0.5517244189598625,-0.8517244189598623,-0.5217244189598631
177,5.88,5.73,5.68,177.0,305.0,304.0,1.1245057214012801,1.2745057214012796,1.3245057214012803
178,6.17,5.68,6.16,178.0,304.0,303.0,-0.6859616837239315,-0.1959616837239313,-0.6759616837239317
179,5.91,6.16,5.77,179.0,303.0,302.0,-0.20386261386747861,-0.4538626138674786,-0.06386261386747805
180,5.65,5.77,5.82,180.0,302.0,301.0,-0.5642433488437879,-0.6842433488437871,-0.7342433488437878
181,6.0,5.82,5.97,181.0,301.0,300.0,-0.5159628235238802,-0.3359628235238805,-0.48596282352388
182,5.92,5.97,5.71,182.0,300.0,299.0,-0.4795552601333677,-0.5295552601333675,-0.2695552601333677
183,5.73,5.71,5.4,183.0,299.0,298.0,-0.18463636327100463,-0.16463636327100417,0.14536363672899544
184,5.79,5.4,5.79,184.0,298.0,297.0,-0.03069920016463268,0.359300799835367,-0.03069920016463268
185,5.73,5.79,5.82,185.0,297.0,296.0,-1.2878153022325458,-1.3478153022325454,-1.3778153022325457
186,5.71,5.82,5.86,186.0,296.0,295.0,-0.43902139779605864,-0.549021397796059,-0.589021397796059
187,5.82,5.86,6.11,187.0,295.0,294.0,-0.11498567987645725,-0.15498567987645728,-0.4049856798764573
188,6.21,6.11,6.16,188.0,294.0,293.0,-0.3111456974139504,-0.21114569741395073,-0.26114569741395055
189,6.02,6.16,5.83,189.0,293.0,292.0,-0.41755381032077654,-0.5575538103207771,-0.22755381032077704
190,5.99,5.83,6.0,190.0,292.0,291.0,-0.42602325629317317,-0.266023256293173,-0.43602325629317296
191,5.82,6.0,5.83,191.0,291.0,290.0,-0.04621907654310853,-0.22621907654310824,-0.056219076543108315
192,5.64,5.83,6.08,192.0,290.0,289.0,0.5196395909757259,0.3296395909757255,0.07963959097572548
193,5.92,6.08,5.74,193.0,289.0,288.0,-0.6767888625733027,-0.8367888625733029,-0.496788862573303
194,5.85,5.74,5.97,194.0,288.0,287.0,0.07313045790648509,0.18313045790648452,-0.046869542093515015
195,6.06,5.97,5.8,195.0,287.0,286.0,0.037046596761349804,0.12704659676134966,0.2970465967613496
196,6.16,5.8,5.74,196.0,286.0,285.0,-0.6939136357600582,-0.33391363576005784,-0.2739136357600582
197,5.88,5.74,5.86,197.0,285.0,284.0,-0.28512590786932623,-0.14512590786932655,-0.26512590786932666
198,5.96,5.86,5.71,198.0,284.0,283.0,0.807177371568466,0.9071773715684657,1.057177371568466
199,5.7,5.71,5.64,199.0,283.0,282.0,0.47665712699079155,0.46665712699079176,0.536657126990792
200,5.88,5.64,5.79,200.0,282.0,281.0,0.7139014246659103,0.9539014246659105,0.8039014246659102
201,6.16,5.79,5.59,201.0,281.0,280.0,-0.020090058764147933,0.3499099412358522,0.5499099412358524
202,6.08,5.59,5.59,202.0,280.0,279.0,0.3657710411346873,0.8557710411346875,0.8557710411346875
203,5.86,5.59,5.89,203.0,279.0,278.0,0.40754368390103846,0.6775436839010389,0.3775436839010391
204,5.88,5.89,5.79,204.0,278.0,277.0,0.5986939276981245,0.5886939276981247,0.6886939276981243
205,6.25,5.79,5.74,205.0,277.0,276.0,0.1895359315007017,0.6495359315007017,0.6995359315007015
206,6.08,5.74,5.59,206.0,276.0,275.0,0.6251021954612632,0.9651021954612631,1.1151021954612634
207,5.73,5.59,5.77,207.0,275.0,274.0,0.3102793464634397,0.45027934646344026,0.27027934646344054
208,5.68,5.77,5.99,208.0,274.0,273.0,0.41912711862761665,0.3291271186276168,0.10912711862761615
209,6.0,5.99,5.99,209.0,273.0,272.0,0.15562495382162833,0.16562495382162812,0.16562495382162812
210,5.89,5.99,5.74,210.0,272.0,271.0,0.2717658012237729,0.17176580122377239,0.4217658012237724
211,5.86,5.74,5.82,211.0,271.0,270.0,0.2978072371250624,0.4178072371250625,0.33780723712506244
212,5.73,5.82,5.76,212.0,270.0,269.0,-0.45311072133462105,-0.5431107213346209,-0.4831107213346204
213,6.1,5.76,5.76,213.0,269.0,268.0,-0.06356943957862704,0.2764305604213728,0.2764305604213728
214,5.8,5.76,6.0,214.0,268.0,267.0,-0.1937122532740876,-0.15371225327408755,-0.39371225327408776
215,6.03,6.0,5.76,215.0,267.0,266.0,-0.7531274923099565,-0.7231274923099562,-0.483127492309956
216,6.03,5.76,5.8,216.0,266.0,265.0,-0.5516728736502188,-0.2816728736502183,-0.32167287365021835
217,5.74,5.8,5.68,217.0,265.0,264.0,-0.036949035923511175,-0.09694903592351078,0.023050964076489322
218,6.17,5.68,5.76,218.0,264.0,263.0,-0.669094511391159,-0.17909451139115884,-0.2590945113911589
219,5.99,5.76,5.92,219.0,263.0,262.0,0.7693763918519041,0.9993763918519045,0.8393763918519044
220,5.97,5.92,5.91,220.0,262.0,261.0,-0.10501791919521519,-0.05501791919521537,-0.04501791919521558
221,5.96,5.91,5.92,221.0,261.0,260.0,-0.3369098699839599,-0.28690986998396006,-0.29690986998395985
222,5.85,5.92,5.64,222.0,260.0,259.0,-0.06529876475052454,-0.13529876475052482,0.14470123524947542
223,6.05,5.64,5.86,223.0,259.0,258.0,-0.3210379148579481,0.08896208514205206,-0.13103791485794858
224,5.99,5.86,5.58,224.0,258.0,257.0,0.12019193281072749,0.2501919328107274,0.5301919328107276
225,6.05,5.58,5.82,225.0,257.0,256.0,-0.35077480731726496,0.11922519268273479,-0.12077480731726542
226,5.67,5.82,5.88,226.0,256.0,255.0,-0.4080263462139939,-0.5580263462139943,-0.6180263462139939
227,5.96,5.88,5.89,227.0,255.0,254.0,-0.03602848044642837,0.0439715195535717,0.033971519553571916
228,5.92,5.89,5.86,228.0,254.0,253.0,0.05984926522056622,0.08984926522056647,0.11984926522056583
229,5.88,5.86,5.94,229.0,253.0,252.0,-0.35730816198258886,-0.3373081619825893,-0.41730816198258935
230,5.82,5.94,6.16,230.0,252.0,251.0,0.29567694496483554,0.17567694496483544,-0.044323055035164316
231,5.96,6.16,5.99,231.0,251.0,250.0,0.13043239155522102,-0.06956760844477916,0.10043239155522077
232,5.77,5.99,5.88,232.0,250.0,249.0,-0.2613669204298432,-0.48136692042984386,-0.37136692042984354
233,5.79,5.88,5.71,233.0,249.0,248.0,0.2639992679038947,0.17399926790389486,0.3439992679038948
234,5.8,5.71,5.82,234.0,248.0,247.0,-0.523127492309956,-0.4331274923099562,-0.5431274923099565
235,5.74,5.82,5.77,235.0,247.0,246.0,0.6572881085647762,0.5772881085647761,0.6272881085647768
236,5.88,5.77,6.05,236.0,246.0,245.0,0.2730603294721634,0.38306032947216373,0.10306032947216348
237,5.89,6.05,6.08,237.0,245.0,244.0,-0.2358085433264696,-0.39580854332646975,-0.42580854332647
238,5.59,6.08,6.19,238.0,244.0,243.0,0.6457604010748899,0.15576040107488964,0.04576040107488932
239,5.85,6.19,5.76,239.0,243.0,242.0,-0.4238739521117383,-0.763873952111739,-0.3338739521117384
240,5.62,5.76,5.76,240.0,242.0,241.0,-0.14620597678358127,-0.28620597678358095,-0.28620597678358095
241,5.76,5.76,5.62,241.0,241.0,240.0,-0.39025741130114344,-0.39025741130114344,-0.25025741130114376
242,5.76,5.62,5.85,242.0,240.0,239.0,-0.32883319296051194,-0.18883319296051226,-0.4188331929605118
243,6.19,5.85,5.59,243.0,239.0,238.0,-1.0232553024036726,-0.6832553024036718,-0.42325530240367204
244,6.08,5.59,5.89,244.0,238.0,237.0,-0.12129037894062389,0.3687096210593763,0.0687096210593765
245,6.05,5.89,5.88,245.0,237.0,236.0,-0.6306404231768248,-0.47064042317682464,-0.46064042317682485
246,5.77,5.88,5.74,246.0,236.0,235.0,-0.49312637424576167,-0.603126374245762,-0.4631263742457623
247,5.82,5.74,5.8,247.0,235.0,234.0,0.5796420963460704,0.6596420963460705,0.5996420963460709
248,5.71,5.8,5.79,248.0,234.0,233.0,-0.43312637424576206,-0.5231263742457619,-0.5131263742457621
249,5.88,5.79,5.77,249.0,233.0,232.0,-0.5471178133403125,-0.45711781334031265,-0.4371178133403122
250,5.99,5.77,5.96,250.0,232.0,231.0,-0.40848865797788836,-0.18848865797788772,-0.3784886579778881
251,6.16,5.96,5.82,251.0,231.0,230.0,-0.8831274923099564,-0.6831274923099562,-0.5431274923099565
252,5.94,5.82,5.88,252.0,230.0,229.0,-0.6812111948130104,-0.5612111948130103,-0.6212111948130099
253,5.86,5.88,5.92,253.0,229.0,228.0,-0.3759639633237102,-0.39596396332370976,-0.4359639633237098
254,5.89,5.92,5.96,254.0,228.0,227.0,-0.3974931222581226,-0.42749312225812286,-0.4674931222581229
255,5.88,5.96,5.67,255.0,227.0,226.0,-0.39904896731965955,-0.4790489673196596,-0.1890489673196596
256,5.82,5.67,6.05,256.0,226.0,225.0,-0.27488163777235197,-0.12488163777235162,-0.5048816377723515
257,5.58,6.05,5.99,257.0,225.0,224.0,0.037684191344205864,-0.4323158086557939,-0.3723158086557943
258,5.86,5.99,6.05,258.0,224.0,223.0,-0.0861746346041734,-0.2161746346041733,-0.2761746346041729
259,5.64,6.05,5.85,259.0,223.0,222.0,-0.19950303801426905,-0.6095030380142692,-0.409503038014269
260,5.92,5.85,5.96,260.0,222.0,221.0,-0.43654182658407237,-0.3665418265840721,-0.4765418265840724
261,5.91,5.96,5.97,261.0,221.0,220.0,-0.42390643178452425,-0.4739064317845241,-0.48390643178452386
262,5.92,5.97,5.99,262.0,220.0,219.0,0.19819403874277164,0.14819403874277182,0.12819403874277135
263,5.76,5.99,6.17,263.0,219.0,218.0,-0.2759605439238646,-0.505960543923865,-0.6859605439238647
264,5.68,6.17,5.74,264.0,218.0,217.0,-0.5826732375098995,-1.0726732375098997,-0.6426732375099
265,5.8,5.74,6.03,265.0,217.0,216.0,0.0013243706822123613,0.06132437068221197,-0.22867562931778807
266,5.76,6.03,6.03,266.0,216.0,215.0,0.3206696387012906,0.050669638701290154,0.050669638701290154
267,6.0,6.03,5.8,267.0,215.0,214.0,-0.7230302202820393,-0.7530302202820396,-0.5230302202820392
268,5.76,5.8,6.1,268.0,214.0,213.0,0.023673469580622886,-0.01632653041937715,-0.316326530419377
269,5.76,6.1,5.73,269.0,213.0,212.0,-0.483127492309956,-0.8231274923099559,-0.45312749230995664
270,5.82,5.73,5.86,270.0,212.0,211.0,0.2253415653189892,0.31534156531898905,0.18534156531898915
271,5.74,5.86,5.89,271.0,211.0,210.0,-0.5094051188509274,-0.6294051188509275,-0.6594051188509269
272,5.99,5.89,6.0,272.0,210.0,209.0,0.12098962170122363,0.22098962170122416,0.11098962170122384
273,5.99,6.0,5.68,273.0,209.0,208.0,-0.6288708039234994,-0.6388708039234992,-0.31887080392349887
274,5.77,5.68,5.73,274.0,208.0,207.0,-0.391489235722589,-0.3014892357225891,-0.35148923572258983
275,5.59,5.73,6.08,275.0,207.0,206.0,0.002213845597625941,-0.13778615440237463,-0.4877861544023743
276,5.74,6.08,6.25,276.0,206.0,205.0,0.30768854092772635,-0.03231145907227351,-0.20231145907227344
277,5.79,6.25,5.88,277.0,205.0,204.0,-0.416240351260841,-0.876240351260841,-0.5062403512608409
278,5.89,5.88,5.86,278.0,204.0,203.0,-0.1512339592534211,-0.1412339592534213,-0.12123395925342173
279,5.59,5.86,6.08,279.0,203.0,202.0,0.12125419896560796,-0.1487458010343925,-0.36874580103439225
280,5.59,6.08,6.16,280.0,202.0,201.0,0.10061957825150891,-0.3893804217484913,-0.46938042174849137
281,5.79,6.16,5.88,281.0,201.0,200.0,0.06753256100118588,-0.30246743899881423,-0.022467438998813982
282,5.64,5.88,5.7,282.0,200.0,199.0,-0.24314109274605933,-0.48314109274605954,-0.3031410927460598
283,5.71,5.7,5.96,283.0,199.0,198.0,0.3017202096048077,0.3117202096048075,0.05172020960480772
284,5.86,5.96,5.88,284.0,198.0,197.0,-0.27847715912428583,-0.3784771591242855,-0.2984771591242854
285,5.74,5.88,6.16,285.0,197.0,196.0,0.1036160039363141,-0.036383996063685586,-0.31638399606368584
286,5.8,6.16,6.06,286.0,196.0,195.0,-0.07876025615244142,-0.43876025615244174,-0.3387602561524412
287,5.97,6.06,5.85,287.0,195.0,194.0,-1.4600704340362984,-1.5500704340362983,-1.3400704340362983
288,5.74,5.85,5.92,288.0,194.0,193.0,0.4314446904710776,0.32144469047107815,0.25144469047107787
