wire_number,baseline_json_B,reversed_json_B,reversed_shift_-1_json_B,baseline_mapped_wire,reversed_mapped_wire,reversed_shift_-1_mapped_wire,baseline_residual_B,reversed_residual_B,reversed_shift_-1_residual_B
345,5.76,6.05,5.86,345.0,137.0,136.0,0.14225457493125937,-0.14774542506874067,0.04225457493125884
346,6.02,5.86,6.33,346.0,136.0,135.0,-0.09785623266492927,0.06214376733506999,-0.40785623266492976
347,5.79,6.33,5.97,347.0,135.0,134.0,-0.12168588639940303,-0.6616858863994031,-0.30168588639940275
348,5.88,5.97,6.35,348.0,134.0,133.0,0.20509198434293818,0.11509198434293832,-0.26490801565706157
349,6.02,6.35,6.11,349.0,133.0,132.0,-0.2613684762399062,-0.5913684762399063,-0.35136847623990697
350,6.06,6.11,5.88,350.0,132.0,131.0,-0.46095987243271797,-0.5109598724327187,-0.28095987243271825
351,5.89,5.88,6.11,351.0,131.0,130.0,-0.08422117380532335,-0.07422117380532356,-0.304221173805324
352,5.73,6.11,6.02,352.0,130.0,129.0,0.19304753956926834,-0.18695246043073155,-0.0969524604307308
353,5.85,6.02,6.13,353.0,129.0,128.0,0.48881687171243016,0.3188168717124302,0.2088168717124299
354,5.79,6.13,6.22,354.0,128.0,127.0,-0.06797673013609629,-0.40797673013609614,-0.497976730136096
355,5.65,6.22,6.03,355.0,127.0,126.0,0.3872317914013186,-0.18276820859868081,0.007231791401318688
356,5.79,6.03,6.05,356.0,126.0,125.0,-0.2774216692764284,-0.5174216692764286,-0.5374216692764282
357,5.65,6.05,5.97,357.0,125.0,124.0,0.5949425618550945,0.19494256185509506,0.27494256185509514
358,5.88,5.97,5.92,358.0,124.0,123.0,-0.8024656664940624,-0.8924656664940622,-0.8424656664940624
359,5.82,5.92,6.24,359.0,123.0,122.0,-0.16126735875653608,-0.26126735875653573,-0.581267358756536
360,5.79,6.24,6.49,360.0,122.0,121.0,0.41858674284719743,-0.03141325715280274,-0.28141325715280274
361,5.97,6.49,6.49,361.0,121.0,120.0,-0.1141188423876871,-0.6341188423876876,-0.6341188423876876
362,5.97,6.49,6.1,362.0,120.0,119.0,-0.10247160118702503,-0.6224716011870255,-0.23247160118702492
363,5.7,6.1,6.4,363.0,119.0,118.0,0.6420486978801927,0.24204869788019323,-0.05795130211980748
364,5.85,6.4,6.49,364.0,118.0,117.0,0.00232589469887845,-0.5476741053011223,-0.6376741053011221
365,5.77,6.49,6.21,365.0,117.0,116.0,0.30630648947259775,-0.4136935105274029,-0.13369351052740264
366,5.67,6.21,6.24,366.0,116.0,115.0,0.2853869569696341,-0.2546130430303659,-0.28461304303036616
367,5.65,6.24,6.22,367.0,115.0,114.0,-0.1214262704201543,-0.7114262704201542,-0.6914262704201537
368,5.79,6.22,6.24,368.0,114.0,113.0,-0.07643201645092201,-0.5064320164509217,-0.5264320164509222
369,5.86,6.24,6.46,369.0,113.0,112.0,0.19335020432066408,-0.18664979567933582,-0.40664979567933557
370,5.97,6.46,5.88,370.0,112.0,111.0,-0.7480206938868568,-1.238020693886857,-0.6580206938868569
371,6.13,5.88,6.38,371.0,111.0,110.0,-0.20877770137085605,0.04122229862914395,-0.45877770137085605
372,5.86,6.38,6.49,372.0,110.0,109.0,0.10516990549016025,-0.4148300945098393,-0.5248300945098396
373,6.16,6.49,6.4,373.0,109.0,108.0,-0.4970301321668078,-0.8270301321668079,-0.737030132166808
