layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,ttf,time
V,B,1146,0,False,0,5,0,0,6978.9921875,200.60960388183594,X6979.0 Y200.6,100.0595874786377,2025-04-29_14-54-41
V,B,1146,2.887290923762053,True,1320.1490884899245,5,0.8359582,0.008500090770423819,6995.0,212.2,X6995.0 Y212.2,"[2.886098311405973, 2.871546788267032, 2.891719131737423]",20.885419607162476,2025-04-29_14-56-06
V,B,1145,3.128099432682484,True,1155.039628898195,5,0.7075495,0.01513199725208754,6987.0,212.2,X6987.0 Y212.2,"[3.1561988454303322, 3.120324295379026, 3.1301893632883098]",2.6182260513305664,2025-04-29_14-56-08
V,B,1144,3.358851074470026,True,1033.7480282323695,5,0.80953383,0.013398832113456619,6979.0,212.3,X6979.0 Y212.3,"[3.3565036370653774, 3.3577140325738415, 3.3855127142387222]",3.56079363822937,2025-04-29_14-56-12
V,B,1143,3.455536800481106,True,921.6216491831519,5,0.86416644,0.00524028338132667,6971.0,212.3,X6971.0 Y212.3,"[3.455483619837933, 3.465889430013464, 3.454177922881646]",2.3268744945526123,2025-04-29_14-56-14
V,B,1142,3.3876924434833056,True,814.9007629205074,5,0.80936,0.044617912080611395,6963.0,212.3,X6963.0 Y212.3,"[3.3793885456129638, 3.3844731539171544, 3.4764772480134534]",2.4644088745117188,2025-04-29_14-56-17
V,B,1141,4.330993785350398,True,831.52622053597,5,0.7212183,0.03792556573273788,6955.0,212.2,X6955.0 Y212.2,"[4.332652133855156, 4.255786406973658, 4.339400167217162]",3.9521923065185547,2025-04-29_14-56-21
V,B,1140,4.028465415870923,True,731.3459585953276,5,0.7638078,0.014022054450849503,6947.0,212.2,X6947.0 Y212.2,"[4.038254927072006, 4.02604962966252, 4.0043484281669555]",9.566173553466797,2025-04-29_14-56-30
V,B,1139,3.9266315970907315,True,663.0643355707354,5,0.7220442,0.035977749390240905,6939.0,212.2,X6939.0 Y212.2,"[3.9237546151630522, 3.9982662334439083, 3.920257423356097]",14.74995493888855,2025-04-29_14-58-05
V,B,1138,4.491776656403726,True,656.1241023406878,5,0.67629606,0.05854915610641505,6931.0,212.0,X6931.0 Y212.0,"[4.4988040991751035, 4.435613762018994, 4.578704457552407]",3.7046689987182617,2025-04-29_14-58-09
V,B,1137,5.181491227190545,True,655.1859879161193,5,0.758251,0.05470905850471061,6923.0,211.9,X6923.0 Y211.9,"[5.262674382656753, 5.12896083724603, 5.188111722501253]",37.68119215965271,2025-04-29_14-58-47
V,B,1136,5.03988471790332,True,604.1506670244528,5,0.8342845,0.03031628842055717,6915.0,212.4,X6915.0 Y212.4,"[5.085399011092102, 5.043764220644142, 5.011329796984081]",23.993664979934692,2025-04-29_14-59-11
V,B,1135,5.086941329713366,True,569.5489214563632,5,0.8168459,0.0720066062195919,6907.0,212.1,X6907.0 Y212.1,"[5.055255831699963, 5.094697109440541, 5.223857531267468]",6.015336275100708,2025-04-29_14-59-17
V,B,1134,4.438857051469524,True,501.43448652254466,5,0.7383377,0.011103221957251322,6899.0,212.2,X6899.0 Y212.2,"[4.437372288461782, 4.4444959556591614, 4.418202933255447]",4.814258098602295,2025-04-29_14-59-21
V,B,1133,4.66870437891549,True,486.01611700159947,5,0.7831804,0.04774199249352051,6891.0,212.2,X6891.0 Y212.2,"[4.696866528774839, 4.661122821545726, 4.582565266483413]",5.209225416183472,2025-04-29_14-59-27
V,B,1132,4.633854855320301,True,459.2374604922312,5,0.77803236,0.08239904118622231,6883.0,212.2,X6883.0 Y212.2,"[4.610058602105358, 4.795940909760474, 4.634889296211622]",2.6459357738494873,2025-04-29_14-59-29
V,B,1131,4.672905590246,True,438.34062052122306,5,0.7615817,0.027354970649946637,6875.0,211.8,X6875.0 Y211.8,"[4.727429047321246, 4.669681920828907, 4.669122901397442]",7.973869323730469,2025-04-29_14-59-37
V,B,1130,5.056867546366282,True,434.6938698314321,5,0.7517042,0.08258776531132433,6867.0,211.8,X6867.0 Y211.8,"[5.189757905243662, 4.988676885661851, 5.070030340468023]",1.8132741451263428,2025-04-29_14-59-39
V,B,1129,5.555924307961745,True,435.1072438335862,5,0.8014124,0.016869855477855557,6859.0,212.0,X6859.0 Y212.0,"[5.555603564126383, 5.551718519734291, 5.589288895217483]",11.99418020248413,2025-04-29_14-59-51
V,B,1128,5.429554353517756,True,411.7632783791852,5,0.8606755,0.04227665850459884,6851.0,211.8,X6851.0 Y211.8,"[5.4337247039587115, 5.38660792275648, 5.490028244471681]",9.14394474029541,2025-04-29_15-00-00
V,B,1127,5.068361213329405,True,381.37993786730806,5,0.8070167,0.08340621289621664,6843.0,211.8,X6843.0 Y211.8,"[4.9323217346711505, 5.135228363514595, 5.054423500660534]",2.648174285888672,2025-04-29_15-00-03
V,B,1126,5.175308966686081,True,370.2271923614584,5,0.844979,0.07677816228805126,6835.0,211.9,X6835.0 Y211.9,"[5.1990198404376065, 5.024842642700652, 5.173361818327475]",3.343844175338745,2025-04-29_15-00-06
V,B,1125,5.246356945994641,True,358.5169681046073,5,0.8917331,0.0095076304162928,6827.0,211.9,X6827.0 Y211.9,"[5.2648806821014595, 5.246826838129714, 5.243113206713926]",2.2884719371795654,2025-04-29_15-00-09
V,B,1124,5.163660481669113,True,342.5900693077504,5,0.8129494,0.06630558692561692,6819.0,211.9,X6819.0 Y211.9,"[5.168738562708531, 5.255433287187005, 5.09314494202061]",1.9068505764007568,2025-04-29_15-00-10
