layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,ttf,time
G,B,1,0,False,0,5,0,0,6300.00390625,193.6,X6300.0 Y193.6,14.944531679153442,2025-05-15_14-25-33
G,B,2,0,False,0,5,0,0,6300.00390625,188.80833333333334,X6300.0 Y188.8,10.821124792098999,2025-05-15_14-25-44
G,B,1,0,False,0,5,0,0,6300.0068359375,193.6,X6300.0 Y193.6,12.471472263336182,2025-05-15_14-26-27
G,B,1,5.531947651977265,True,74.23079530582952,5,0.80104977,0.02605624490232592,6300.0,195.1,X6300.0 Y195.1,"[5.536719452250742, 5.480102363286007, 5.533926676828201]",45.13962173461914,2025-05-15_14-27-39
G,B,2,5.3696725771557485,True,73.13394235453893,5,0.77211684,0.013360753182950724,6300.0,199.1,X6300.0 Y199.1,"[5.359894208932985, 5.371969909319331, 5.392274550663695]",21.5845046043396,2025-05-15_14-28-00
G,B,3,5.610956657972617,True,74.7590096755426,5,0.6687344,0.08402101701098444,6300.0,203.2,X6300.0 Y203.2,"[5.619598634079905, 5.732158376322528, 5.526661819915266]",3.7190403938293457,2025-05-15_14-28-04
G,B,1,5.400442053956459,True,73.34318031434017,5,0.74068195,0.09878272561554154,6300.0,194.4,X6300.0 Y194.4,"[5.578912466096525, 5.416219731816022, 5.34245508510036]",8.766851902008057,2025-05-15_14-31-33
G,B,2,5.408153747113971,True,73.39552772632491,5,0.73198766,0.02979235492755798,6300.0,199.5,X6300.0 Y199.5,"[5.454484220186804, 5.381798989507265, 5.412504869499348]",44.18800640106201,2025-05-15_14-32-18
G,B,3,5.7188030438136925,True,75.47404953185945,5,0.7647958,0.04438393516935077,6300.0,203.2,X6300.0 Y203.2,"[5.751437243013312, 5.711119491784687, 5.64383946955069]",1.9851040840148926,2025-05-15_14-32-20
G,B,4,5.662421948021228,True,75.10108251661764,5,0.8468356,0.06050849398720983,6300.0,208.0,X6300.0 Y208.0,"[5.667351489019046, 5.598621161826074, 5.746709044760699]",6.3094682693481445,2025-05-15_14-32-42
G,B,5,5.6793614454158945,True,75.21333347353028,5,0.7914594,0.06936502324941535,6300.0,212.8,X6300.0 Y212.8,"[5.771658091563637, 5.601806401752005, 5.682913656883638]",2.826766014099121,2025-05-15_14-32-44
G,B,6,5.484317839603323,True,73.9105426253212,5,0.7275786,0.07320240821810133,6300.0,217.6,X6300.0 Y217.6,"[5.490021437045965, 5.455819947681299, 5.62535546580497]",2.0089426040649414,2025-05-15_14-32-46
G,B,7,5.720210158181784,True,75.48333417471437,5,0.7769421,0.019300198984053676,6300.0,222.6,X6300.0 Y222.6,"[5.724569037281272, 5.681949156611122, 5.720976288948738]",11.637226104736328,2025-05-15_14-32-58
G,B,8,5.358139726489087,True,73.05536249774556,5,0.8164089,0.07801473034817004,6300.0,227.2,X6300.0 Y227.2,"[5.505682377240567, 5.322431077137648, 5.367125261850999]",3.9464681148529053,2025-05-15_14-33-02
G,B,9,5.806300209228136,True,76.0492308676842,5,0.7529604,0.08321286023223383,6300.0,232.0,X6300.0 Y232.0,"[5.822796299719512, 5.811727826661174, 5.641001383615318]",13.611550092697144,2025-05-15_14-33-16
G,B,10,5.544970814330651,True,74.31812001242656,5,0.7874236,0.0715347191087338,6300.0,236.7,X6300.0 Y236.7,"[5.556226986485453, 5.503242945030196, 5.6743793250814605]",4.238755702972412,2025-05-15_14-33-20
G,B,11,5.716858898160907,True,75.461219485347,5,0.7411437,0.04600289222124966,6300.0,241.5,X6300.0 Y241.5,"[5.732860105054852, 5.714544749371366, 5.627413236610632]",2.209381341934204,2025-05-15_14-33-22
G,B,12,5.306753407615996,True,72.70420608913335,5,0.8097941,0.055411250085756085,6300.0,246.3,X6300.0 Y246.3,"[5.301990401961186, 5.200503849099358, 5.329299605013409]",1.9571034908294678,2025-05-15_14-33-24
G,B,13,5.481744445529033,True,73.89320015219054,5,0.79495955,0.044427921256217986,6300.0,250.9,X6300.0 Y250.9,"[5.4689628535958414, 5.56911533613942, 5.482169174574284]",10.529057025909424,2025-05-15_14-33-35
G,B,14,5.750394032171696,True,75.6822238747947,5,0.83857256,0.04547244317526314,6300.0,255.9,X6300.0 Y255.9,"[5.77203230512615, 5.744820620261795, 5.664887769883959]",2.59645676612854,2025-05-15_14-33-37
G,B,15,5.606876214745723,True,74.73182131947087,5,0.778358,0.07359523568976171,6300.0,260.7,X6300.0 Y260.7,"[5.529162699218115, 5.709277957204681, 5.612736918354954]",1.8203585147857666,2025-05-15_14-33-39
G,B,16,5.454007423291737,True,73.70601734978978,5,0.74305886,0.07855302940666363,6300.0,265.5,X6300.0 Y265.5,"[5.45513278943712, 5.608441495727378, 5.431089906463058]",2.9319260120391846,2025-05-15_14-33-42
G,B,17,5.5152434936895345,True,74.1186376634943,5,0.7767796,0.08615224998100876,6300.0,270.2,X6300.0 Y270.2,"[5.506074000745252, 5.553719906903734, 5.351859467560199]",3.4523909091949463,2025-05-15_14-33-45
G,B,18,5.630703779951903,True,74.89044703623232,5,0.7683374,0.09123482473377359,6300.0,275.1,X6300.0 Y275.1,"[5.467945490321429, 5.687037120137308, 5.615651663028753]",1.4181544780731201,2025-05-15_14-33-47
G,B,19,5.785019691019872,True,75.90973992111846,5,0.80873185,0.061737864066421164,6300.0,279.9,X6300.0 Y279.9,"[5.778895167764319, 5.667255637348062, 5.811418477010308]",2.60675311088562,2025-05-15_14-33-49
