layer,side,wire_number,tension,tension_pass,zone,frequency,confidence,x,y,Gcode,f_sigma,time
V,B,496,5.7247537500012236,True,1,190.67517981492256,0.79386336,1893.7,275.3,X1893.7 Y275.3,0.4798781822853939,2025-01-22_14-51-29
V,B,495,5.780578972225555,True,1,187.9463570878823,0.8399238,1885.7,275.3,X1885.7 Y275.3,0.9677082617163629,2025-01-22_14-51-31
V,B,494,5.7047458638303885,True,1,183.24798281278828,0.8329148,1877.7,275.3,X1877.7 Y275.3,1.2665531820220137,2025-01-22_14-51-33
V,B,493,5.717991900473822,True,1,180.0877908773011,0.8689456,1869.7,275.3,X1869.7 Y275.3,0.2149664409986549,2025-01-22_14-51-35
V,B,492,5.7506656804151755,True,1,177.37361797009646,0.8703826,1861.7,275.3,X1861.7 Y275.3,0.285337331491575,2025-01-22_14-51-37
V,B,491,5.765622534759517,True,1,174.4542208337072,0.8174851,1853.7,275.3,X1853.7 Y275.3,0.8368827755769694,2025-01-22_14-51-40
V,B,490,5.678242936400587,True,1,170.14016878904488,0.7495301,1845.7,275.3,X1845.7 Y275.3,0.9192815279870288,2025-01-22_14-51-45
V,B,489,5.814194391760562,True,1,169.21555778077106,0.8608082,1837.7,275.3,X1837.7 Y275.3,0.9029473501796247,2025-01-22_14-51-48
V,B,488,5.741265114805796,True,1,165.3470003460643,0.8125154,1829.7,275.3,X1829.7 Y275.3,0.111045044967492,2025-01-22_14-51-50
V,B,487,5.876464056708972,True,1,164.51127324563785,0.76904976,1821.7,275.3,X1821.7 Y275.3,0.3806267060775096,2025-01-22_14-51-53
V,B,486,5.923338624199275,True,1,162.47449979667363,0.76340324,1813.7,275.3,X1813.7 Y275.3,1.3452719274109082,2025-01-22_14-51-55
V,B,485,5.782950588941247,True,1,157.98893596789915,0.85623425,1805.7,275.3,X1805.7 Y275.3,0.21521490554873818,2025-01-22_14-51-57
V,B,484,5.808369727877841,True,1,155.8365364928592,0.85426056,1797.7,275.3,X1797.7 Y275.3,0.16623369793161077,2025-01-22_14-52-00
V,B,483,5.88395595933792,True,1,154.4342007262951,0.8469375,1789.7,275.3,X1789.7 Y275.3,0.4083908786434663,2025-01-22_14-52-02
V,B,482,5.823078889512888,True,1,151.28204833303792,0.86786056,1781.7,275.3,X1781.7 Y275.3,0.3341944106252805,2025-01-22_14-52-05
V,B,481,5.690913055072098,True,1,147.3235479724106,0.8333134,1773.7,275.3,X1773.7 Y275.3,0.11227964334065545,2025-01-22_14-52-07
V,B,480,5.835537907605671,True,1,146.9681909177931,0.85506904,1765.7,275.3,X1765.7 Y275.3,0.1965790095603417,2025-01-22_14-52-09
V,B,479,5.703305782301449,True,1,143.18843415980254,0.8673843,1757.7,275.3,X1757.7 Y275.3,0.34057716767414403,2025-01-22_14-52-11
V,B,478,5.870168899584573,True,1,143.17246756825568,0.8805054,1749.7,275.3,X1749.7 Y275.3,1.1437548743136898,2025-01-22_14-52-13
V,B,477,5.940823709441756,True,1,142.0037813537447,0.7837708,1741.7,275.3,X1741.7 Y275.3,0.3142323875446693,2025-01-22_14-52-15
V,B,476,5.8322246746696935,True,1,138.72688424368894,0.8424853,1733.7,275.3,X1733.7 Y275.3,0.1505066841609837,2025-01-22_14-52-17
V,B,475,5.868299705147615,True,1,137.25009676077593,0.7806044,1725.7,275.3,X1725.7 Y275.3,0.26276518452952324,2025-01-22_14-52-19
V,B,474,6.065686830490636,True,1,137.63569471898728,0.7839848,1717.7,275.3,X1717.7 Y275.3,0.6516987385767976,2025-01-22_14-52-23
V,B,473,5.815651420646337,True,1,132.97338280151587,0.82006633,1709.7,275.3,X1709.7 Y275.3,1.5107352227966742,2025-01-22_14-52-26
V,B,472,5.802872462665894,True,1,131.06306944729153,0.8971067,1701.7,275.3,X1701.7 Y275.3,0.11987102052181216,2025-01-22_14-52-28
V,B,471,5.68400429399637,True,1,128.03049592974,0.86323816,1693.7,275.2,X1693.7 Y275.2,7.733529707145183,2025-01-22_14-52-38
V,B,470,5.8522276062284915,True,1,128.23028651081876,0.83918136,1685.3,274.4,X1685.3 Y274.4,0.1031476189655283,2025-01-22_14-53-04
V,B,469,5.583983941789909,True,1,123.67292424985102,0.8980437,1677.3,274.4,X1677.3 Y274.4,0.12452936283560984,2025-01-22_14-53-06
V,B,468,5.746142606644095,True,1,123.87321688357832,0.86563516,1669.3,274.4,X1669.3 Y274.4,1.3114041171487523,2025-01-22_14-53-25
V,B,467,5.640459536803354,True,1,121.21514732733202,0.8800837,1661.3,274.4,X1661.3 Y274.4,1.9192246985001116,2025-01-22_14-53-27
V,B,466,5.848046731974587,True,1,121.90670112728142,0.8540615,1653.3,274.4,X1653.3 Y274.4,0.4034152464022536,2025-01-22_14-53-29
V,B,465,5.878205054848932,True,1,120.74972254570342,0.8760241,1645.3,274.4,X1645.3 Y274.4,0.6923141943911924,2025-01-22_14-53-32
V,B,464,5.930837841080099,True,1,119.83222552378757,0.8142386,1637.3,274.4,X1637.3 Y274.4,0.4830213796589302,2025-01-22_14-53-34
V,B,463,5.6995216236313,True,1,116.09175124158708,0.7665143,1629.3,274.4,X1629.3 Y274.4,0.6697393802347718,2025-01-22_14-53-39
V,B,462,5.7757988681757055,True,1,115.49501886403029,0.83919907,1621.3,274.4,X1621.3 Y274.4,0.8074162674441067,2025-01-22_14-53-42
V,B,461,6.570326802578443,True,1,121.75464693853826,0.8505808,1613.3,274.4,X1613.3 Y274.4,3.2126823438799215,2025-01-22_14-53-46
V,B,460,6.000387578853849,True,1,115.03373695304036,0.850405,1605.3,274.4,X1605.3 Y274.4,5.17244910782962,2025-01-22_14-53-50
V,B,459,5.6086284798439,True,1,109.95465937903677,0.8444955,1597.3,274.4,X1597.3 Y274.4,0.35527524599591653,2025-01-22_14-53-57
V,B,458,5.750499718146295,True,1,110.10138272924117,0.79442775,1589.3,274.4,X1589.3 Y274.4,8.800678578743543,2025-01-22_14-54-01
V,B,457,5.6258730727434445,True,1,107.6947322355679,0.7241192,1581.3,274.4,X1581.3 Y274.4,1.7131351538504573,2025-01-22_14-54-06
V,B,456,5.698417022039133,True,1,107.21056243750816,0.7597518,1573.3,274.4,X1573.3 Y274.4,0.4608269340269057,2025-01-22_14-54-10
V,B,455,5.87042181266804,True,1,107.63652228413899,0.842262,1565.3,274.4,X1565.3 Y274.4,0.43040674068995777,2025-01-22_14-54-12
V,B,454,5.963902527230454,True,1,107.3378663457862,0.8732403,1557.3,274.4,X1557.3 Y274.4,0.4497141374861644,2025-01-22_14-54-15
V,B,453,5.878769832617018,True,1,105.43772524026838,0.90509933,1549.3,274.4,X1549.3 Y274.4,0.6438593223718995,2025-01-22_14-54-18
V,B,452,6.0201136539524835,True,1,105.58817368192351,0.73319405,1541.3,274.3,X1541.3 Y274.3,5.166664346889827,2025-01-22_14-54-20
V,B,451,5.932064891174012,True,1,103.7235500649819,0.85605824,1533.3,274.3,X1533.3 Y274.3,0.09773699805101077,2025-01-22_14-54-22
V,B,450,5.973594132587165,True,1,103.02576585428385,0.87841254,1525.3,274.3,X1525.3 Y274.3,0.19090097651196442,2025-01-22_14-54-24
V,B,449,5.707204092022334,True,1,99.67669903076704,0.86655885,1517.3,274.3,X1517.3 Y274.3,0.6877144806463668,2025-01-22_14-54-26
V,B,448,5.690024393275862,True,1,98.53312272224665,0.90529716,1509.3,274.3,X1509.3 Y274.3,0.3642246995019502,2025-01-22_14-54-30
V,B,447,5.769449148835091,True,1,98.22794809632667,0.88394094,1501.3,274.3,X1501.3 Y274.3,0.13298229238289624,2025-01-22_14-54-31
V,B,446,5.680710228487358,True,1,96.51583560798903,0.8737329,1493.3,274.3,X1493.3 Y274.3,0.8138404307150175,2025-01-22_14-54-33
V,B,445,5.814502913048848,True,1,96.68999934385425,0.8687815,1485.3,274.3,X1485.3 Y274.3,8.139679653173435,2025-01-22_14-54-40
V,B,444,5.591015804684659,True,1,93.90371286287628,0.78038055,1477.3,274.3,X1477.3 Y274.3,1.6611448231399024,2025-01-22_14-54-44
V,B,443,5.486858752994799,True,1,92.13174856567005,0.8035676,1469.3,274.3,X1469.3 Y274.3,0.46363117839845897,2025-01-22_14-54-50
V,B,442,5.4529774570857334,True,1,90.98212015585625,0.83299917,1461.3,274.3,X1461.3 Y274.3,1.1882959562928426,2025-01-22_14-54-57
V,B,441,5.668629210223222,True,1,91.88977146797878,0.8348232,1453.3,274.3,X1453.3 Y274.3,0.9254210399522657,2025-01-22_14-55-04
V,B,440,4.787193928652874,True,1,83.66370595401672,0.78630877,1445.3,274.3,X1445.3 Y274.3,14.940011239411161,2025-01-22_14-55-15
V,B,439,4.420299548939168,True,1,79.65029511324462,0.7287185,1437.3,274.3,X1437.3 Y274.3,1.387155668230344,2025-01-22_14-55-20
V,B,438,5.604642188541607,True,1,88.87462475503061,0.7349417,1429.3,274.3,X1429.3 Y274.3,1.9495137209833384,2025-01-22_14-55-27
V,B,437,6.022195486362221,True,1,91.28921176508413,0.8186987,1421.3,274.3,X1421.3 Y274.3,0.5978067328873247,2025-01-22_14-55-30
V,B,436,5.598167748103307,True,1,87.23253214325928,0.81243205,1413.3,274.3,X1413.3 Y274.3,0.5285976084970614,2025-01-22_14-55-34
V,B,435,5.695264255683523,True,1,87.20096657325347,0.8338969,1405.3,274.3,X1405.3 Y274.3,0.7408642903177886,2025-01-22_14-55-37
V,B,434,5.789485918284378,True,1,87.14204513601919,0.8391711,1397.3,274.3,X1397.3 Y274.3,2.1186783615556966,2025-01-22_14-55-42
V,B,433,5.931294503633347,True,1,87.43760851996865,0.8271255,1389.3,274.2,X1389.3 Y274.2,0.3034677939769734,2025-01-22_14-55-44
V,B,432,5.56930152055594,True,1,83.9912890099855,0.7666867,1381.3,274.2,X1381.3 Y274.2,0.6345927071325858,2025-01-22_14-55-46
V,B,431,5.7992808640015925,True,1,84.9770939350714,0.7896542,1373.3,274.0,X1373.3 Y274.0,0.8050490726548853,2025-01-22_14-55-49
