,1,2,3,4,5
270,1448.2,1202.9,,,
271,1448.2,1212.7,,,
272,1448.2,1222.6,,,
273,1448.2,1232.4,,,
274,1448.2,1242.3,,,
275,1448.2,1252.1,,,
276,1448.2,1262,,,
277,1448.2,1271.8,,,
278,1448.2,1281.7,,,
279,1448.2,1291.5,,,
280,1448.2,1301.4,,,
281,1448.2,1311.2,,,
282,1448.2,1321.1,,,
283,1448.2,1330.9,,,
284,1448.2,1340.8,,,
285,1448.2,1350.6,,,
286,1448.2,1360.5,,,
287,1448.2,1370.3,,,
288,1448.2,1380.2,,,
289,1448.2,1390,,,
290,1448.2,1399.9,,,
291,1448.2,1409.7,,,
292,1448.2,1419.6,,,
293,1448.2,1429.4,,,
294,1448.2,1439.3,,,
295,1448.2,1449.2,,,
296,1448.2,1459,,,
297,1448.2,1458.1,11.1,,
298,1448.2,1458.1,20.8,,
299,1448.2,1458.1,30.6,,
300,1448.2,1458.1,40.4,,
301,1448.2,1458.1,50.2,,
302,1448.2,1458.1,60.1,,
303,1448.2,1458.1,69.9,,
304,1448.2,1458.1,79.8,,
305,1448.2,1458.1,89.6,,
306,1448.2,1458.1,99.5,,
307,1448.2,1458.1,109.3,,
308,1448.2,1458.1,119.2,,
309,1448.2,1458.1,129,,
310,1448.2,1458.1,138.9,,
311,1448.2,1458.1,148.7,,
312,1448.2,1458.1,158.6,,
313,1448.2,1458.1,168.4,,
314,1448.2,1458.1,178.3,,
315,1448.2,1458.1,188.1,,
316,1448.2,1458.1,198,,
317,1448.2,1458.1,207.8,,
318,1448.2,1458.1,217.7,,
319,1448.2,1458.1,227.5,,
320,1448.2,1458.1,237.4,,
321,1448.2,1458.1,247.2,,
322,1448.2,1458.1,257.1,,
323,1448.2,1458.1,266.9,,
324,1448.2,1458.1,276.8,,
325,1448.2,1458.1,286.6,,
326,1448.2,1458.1,296.5,,
327,1448.2,1458.1,306.3,,
328,1448.2,1458.1,316.2,,
329,1448.2,1458.1,326,,
330,1448.2,1458.1,335.9,,
331,1448.2,1458.1,345.7,,
332,1448.2,1458.1,355.6,,
333,1448.2,1458.1,365.4,,
334,1448.2,1458.1,375.3,,
335,1448.2,1458.1,385.1,,
336,1448.2,1458.1,395,,
337,1448.2,1458.1,404.8,,
338,1448.2,1458.1,414.7,,
339,1448.2,1458.1,424.5,,
340,1448.2,1458.1,434.4,,
341,1448.2,1458.1,444.3,,
342,1448.2,1458.1,454.1,,
343,1448.2,1458.1,464,,
344,1448.2,1458.1,473.8,,
345,1448.2,1458.1,483.7,,
346,1448.2,1458.1,493.5,,
347,1448.2,1458.1,503.4,,
348,1448.2,1458.1,513.2,,
349,1448.2,1458.1,523.1,,
350,1448.2,1458.1,532.9,,
351,1448.2,1458.1,542.8,,
352,1448.2,1458.1,552.6,,
353,1448.2,1458.1,562.5,,
354,1448.2,1458.1,572.3,,
355,1448.2,1458.1,582.2,,
356,1448.2,1458.1,592,,
357,1448.2,1458.1,601.9,,
358,1448.2,1458.1,611.7,,
359,1448.2,1458.1,621.6,,
360,1448.2,1458.1,631.4,,
361,1448.2,1458.1,641.3,,
362,1448.2,1458.1,651.1,,
363,1448.2,1458.1,661,,
364,1448.2,1458.1,670.8,,
365,1448.2,1458.1,680.7,,
366,1448.2,1458.1,690.5,,
367,1448.2,1458.1,700.4,,
368,1448.2,1458.1,710.3,,
369,1448.2,1458.1,720.1,,
370,1448.2,1458.1,730,,
371,1448.2,1458.1,739.8,,
372,1448.2,1458.1,749.7,,
373,1448.2,1458.1,759.5,,
374,1448.2,1458.1,769.4,,
375,1448.2,1458.1,779.2,,
376,1448.2,1458.1,789.1,,
377,1448.2,1458.1,798.9,,
378,1448.2,1458.1,808.8,,
379,1448.2,1458.1,818.6,,
380,1448.2,1458.1,828.5,,
381,1448.2,1458.1,838.3,,
382,1448.2,1458.1,848.2,,
383,1448.2,1458.1,858,,
384,1448.2,1458.1,867.9,,
385,1448.2,1458.1,877.7,,
386,1448.2,1458.1,887.6,,
387,1448.2,1458.1,897.4,,
388,1448.2,1458.1,907.3,,
389,1448.2,1458.1,917.1,,
390,1448.2,1458.1,927,,
391,1448.2,1458.1,936.8,,
392,1448.2,1458.1,946.7,,
393,1448.2,1458.1,956.6,,
394,1448.2,1458.1,966.4,,
395,1448.2,1458.1,976.3,,
396,1448.2,1458.1,986.1,,
397,1448.2,1458.1,996,,
398,1448.2,1458.1,1005.8,,
399,1448.2,1458.1,1015.7,,
400,1448.2,1458.1,1025.5,,
401,1448.2,1458.1,1035.4,,
402,1432.2,1458.1,1045.2,,
403,1432.2,1458.1,1055.1,,
404,1431,1458.1,1064.9,,
405,1421.1,1458.1,1074.8,,
406,1411.3,1458.1,1084.6,,
407,1401.4,1458.1,1094.5,,
408,1391.6,1458.1,1104.3,,
409,1381.7,1458.1,1114.2,,
410,1371.8,1458.1,1124,,
411,1362,1458.1,1133.9,,
412,1352.1,1458.1,1143.7,,
413,1342.3,1458.1,1153.6,,
414,1332.4,1458.1,1163.4,,
415,1322.6,1458.1,1173.3,,
416,1312.7,1458.1,1183.1,,
417,1302.9,1458.1,1193,,
418,1293,1458.1,1202.9,,
419,1283.2,1458.1,1212.7,,
420,1273.3,1458.1,1222.6,,
421,1263.5,1458.1,1232.4,,
422,1253.6,1458.1,1242.3,,
423,1243.8,1458.1,1252.1,,
424,1233.9,1458.1,1262,,
425,1224.1,1458.1,1271.8,,
426,1214.2,1458.1,1281.7,,
427,1204.4,1458.1,1291.5,,
428,1194.5,1458.1,1301.4,,
429,1184.7,1458.1,1311.2,,
430,1174.8,1458.1,1321.1,,
431,1165,1458.1,1330.9,,
432,1155.1,1458.1,1340.8,,
433,1145.3,1458.1,1350.6,,
434,1135.4,1458.1,1360.5,,
435,1125.5,1458.1,1370.3,,
436,1115.7,1458.1,1380.2,,
437,1105.8,1458.1,1390,,
438,1096,1458.1,1399.9,,
439,1086.1,1458.1,1409.7,,
440,1076.3,1458.1,1419.6,,
441,1066.4,1458.1,1429.4,,
442,1056.6,1458.1,1439.3,,
443,1046.7,1458.1,1449.2,,
444,1036.9,1458.1,1459,,
445,1027,1458.1,1458.1,11.1,
446,1017.2,1458.1,1458.1,20.8,
447,1007.3,1458.1,1458.1,30.6,
448,997.5,1458.1,1458.1,40.4,
449,987.6,1458.1,1458.1,50.2,
450,977.8,1458.1,1458.1,60.1,
451,967.9,1458.1,1458.1,69.9,
452,958.1,1458.1,1458.1,79.8,
453,948.2,1458.1,1458.1,89.6,
454,938.4,1458.1,1458.1,99.5,
455,928.5,1458.1,1458.1,109.3,
456,918.7,1458.1,1458.1,119.2,
457,908.8,1458.1,1458.1,129,
458,899,1458.1,1458.1,138.9,
459,889.1,1458.1,1458.1,148.7,
460,879.2,1458.1,1458.1,158.6,
461,869.4,1458.1,1458.1,168.4,
462,859.5,1458.1,1458.1,178.3,
463,849.7,1458.1,1458.1,188.1,
464,839.8,1458.1,1458.1,198,
465,830,1458.1,1458.1,207.8,
466,820.1,1458.1,1458.1,217.7,
467,810.3,1458.1,1458.1,227.5,
468,800.4,1458.1,1458.1,237.4,
469,790.6,1458.1,1458.1,247.2,
470,780.7,1458.1,1458.1,257.1,
471,770.9,1458.1,1458.1,266.9,
472,761,1458.1,1458.1,276.8,
473,751.2,1458.1,1458.1,286.6,
474,741.3,1458.1,1458.1,296.5,
475,731.5,1458.1,1458.1,306.3,
476,721.6,1458.1,1458.1,316.2,
477,711.8,1458.1,1458.1,326,
478,701.9,1458.1,1458.1,335.9,
479,692.1,1458.1,1458.1,345.7,
480,682.2,1458.1,1458.1,355.6,
481,672.4,1458.1,1458.1,365.4,
482,662.5,1458.1,1458.1,375.3,
483,652.7,1458.1,1458.1,385.1,
484,642.8,1458.1,1458.1,395,
485,632.9,1458.1,1458.1,404.8,
486,623.1,1458.1,1458.1,414.7,
487,613.2,1458.1,1458.1,424.5,
488,603.4,1458.1,1458.1,434.4,
489,593.5,1458.1,1458.1,444.3,
490,583.7,1458.1,1458.1,454.1,
491,573.8,1458.1,1458.1,464,
492,564,1458.1,1458.1,473.8,
493,554.1,1458.1,1458.1,483.7,
494,544.3,1458.1,1458.1,493.5,
495,534.4,1458.1,1458.1,503.4,
496,524.6,1458.1,1458.1,513.2,
497,514.7,1458.1,1458.1,523.1,
498,504.9,1458.1,1458.1,532.9,
499,495,1458.1,1458.1,542.8,
500,485.2,1458.1,1458.1,552.6,
501,475.3,1458.1,1458.1,562.5,
502,465.5,1458.1,1458.1,572.3,
503,455.6,1458.1,1458.1,582.2,
504,445.8,1458.1,1458.1,592,
505,435.9,1458.1,1458.1,601.9,
506,426.1,1458.1,1458.1,611.7,
507,416.2,1458.1,1458.1,621.6,
508,406.4,1458.1,1458.1,631.4,
509,396.5,1458.1,1458.1,641.3,
510,386.6,1458.1,1458.1,651.1,
511,376.8,1458.1,1458.1,661,
512,366.9,1458.1,1458.1,670.8,
513,357.1,1458.1,1458.1,680.7,
514,347.2,1458.1,1458.1,690.5,
515,337.4,1458.1,1458.1,700.4,
516,327.5,1458.1,1458.1,710.3,
517,317.7,1458.1,1458.1,720.1,
518,307.8,1458.1,1458.1,730,
519,298,1458.1,1458.1,739.8,
520,288.1,1458.1,1458.1,749.7,
521,278.3,1458.1,1458.1,759.5,
522,268.4,1458.1,1458.1,769.4,
523,258.6,1458.1,1458.1,779.2,
524,248.7,1458.1,1458.1,789.1,
525,238.9,1458.1,1458.1,798.9,
526,229,1458.1,1458.1,808.8,
527,219.2,1458.1,1458.1,818.6,
528,209.3,1458.1,1458.1,828.5,
529,199.5,1458.1,1458.1,838.3,
530,189.6,1458.1,1458.1,848.2,
531,179.8,1458.1,1458.1,858,
532,169.9,1458.1,1458.1,867.9,
533,160.1,1458.1,1458.1,877.7,
534,150.2,1458.1,1458.1,887.6,
535,140.4,1458.1,1458.1,897.4,
536,130.5,1458.1,1458.1,907.3,
537,120.7,1458.1,1458.1,917.1,
538,110.8,1458.1,1458.1,927,
539,100.9,1458.1,1458.1,936.8,
540,91.1,1458.1,1458.1,946.7,
541,81.2,1458.1,1458.1,956.6,
542,71.4,1458.1,1458.1,966.4,
543,61.5,1458.1,1458.1,976.3,
544,51.7,1458.1,1458.1,986.1,
545,41.9,1458.1,1458.1,996,
546,32,1458.1,1458.1,1005.8,
547,22.2,1458.1,1458.1,1015.7,
548,12.4,1458.1,1458.1,1025.5,
549,,1458.1,1458.1,1035.4,
550,,1450.7,1458.1,1045.2,
551,,1440.8,1458.1,1055.1,
552,,1431,1458.1,1064.9,
553,,1421.1,1458.1,1074.8,
554,,1411.3,1458.1,1084.6,
555,,1401.4,1458.1,1094.5,
556,,1391.6,1458.1,1104.3,
557,,1381.7,1458.1,1114.2,
558,,1371.8,1458.1,1124,
559,,1362,1458.1,1133.9,
560,,1352.1,1458.1,1143.7,
561,,1342.3,1458.1,1153.6,
562,,1332.4,1458.1,1163.4,
563,,1322.6,1458.1,1173.3,
564,,1312.7,1458.1,1183.1,
565,,1302.9,1458.1,1193,
566,,1293,1458.1,1202.9,
567,,1283.2,1458.1,1212.7,
568,,1273.3,1458.1,1222.6,
569,,1263.5,1458.1,1232.4,
570,,1253.6,1458.1,1242.3,
571,,1243.8,1458.1,1252.1,
572,,1233.9,1458.1,1262,
573,,1224.1,1458.1,1271.8,
574,,1214.2,1458.1,1281.7,
575,,1204.4,1458.1,1291.5,
576,,1194.5,1458.1,1301.4,
577,,1184.7,1458.1,1311.2,
578,,1174.8,1458.1,1321.1,
579,,1165,1458.1,1330.9,
580,,1155.1,1458.1,1340.8,
581,,1145.3,1458.1,1350.6,
582,,1135.4,1458.1,1360.5,
583,,1125.5,1458.1,1370.3,
584,,1115.7,1458.1,1380.2,
585,,1105.8,1458.1,1390,
586,,1096,1458.1,1399.9,
587,,1086.1,1458.1,1409.7,
588,,1076.3,1458.1,1419.6,
589,,1066.4,1458.1,1429.4,
590,,1056.6,1458.1,1439.3,
591,,1046.7,1458.1,1449.2,
592,,1036.9,1458.1,1459,
593,,1027,1458.1,1458.1,11.1
594,,1017.2,1458.1,1458.1,20.8
595,,1007.3,1458.1,1458.1,30.6
596,,997.5,1458.1,1458.1,40.4
597,,987.6,1458.1,1458.1,50.2
598,,977.8,1458.1,1458.1,60.1
599,,967.9,1458.1,1458.1,69.9
600,,958.1,1458.1,1458.1,79.8
601,,948.2,1458.1,1458.1,89.6
602,,938.4,1458.1,1458.1,99.5
603,,928.5,1458.1,1458.1,109.3
604,,918.7,1458.1,1458.1,119.2
605,,908.8,1458.1,1458.1,129
606,,899,1458.1,1458.1,138.9
607,,889.1,1458.1,1458.1,148.7
608,,879.2,1458.1,1458.1,158.6
609,,869.4,1458.1,1458.1,168.4
610,,859.5,1458.1,1458.1,178.3
611,,849.7,1458.1,1458.1,188.1
612,,839.8,1458.1,1458.1,198
613,,830,1458.1,1458.1,207.8
614,,820.1,1458.1,1458.1,217.7
615,,810.3,1458.1,1458.1,227.5
616,,800.4,1458.1,1458.1,237.4
617,,790.6,1458.1,1458.1,247.2
618,,780.7,1458.1,1458.1,257.1
619,,770.9,1458.1,1458.1,266.9
620,,761,1458.1,1458.1,276.8
621,,751.2,1458.1,1458.1,286.6
622,,741.3,1458.1,1458.1,296.5
623,,731.5,1458.1,1458.1,306.3
624,,721.6,1458.1,1458.1,316.2
625,,711.8,1458.1,1458.1,326
626,,701.9,1458.1,1458.1,335.9
627,,692.1,1458.1,1458.1,345.7
628,,682.2,1458.1,1458.1,355.6
629,,672.4,1458.1,1458.1,365.4
630,,662.5,1458.1,1458.1,375.3
631,,652.7,1458.1,1458.1,385.1
632,,642.8,1458.1,1458.1,395
633,,632.9,1458.1,1458.1,404.8
634,,623.1,1458.1,1458.1,414.7
635,,613.2,1458.1,1458.1,424.5
636,,603.4,1458.1,1458.1,434.4
637,,593.5,1458.1,1458.1,444.3
638,,583.7,1458.1,1458.1,454.1
639,,573.8,1458.1,1458.1,464
640,,564,1458.1,1458.1,473.8
641,,554.1,1458.1,1458.1,483.7
642,,544.3,1458.1,1458.1,493.5
643,,534.4,1458.1,1458.1,503.4
644,,524.6,1458.1,1458.1,513.2
645,,514.7,1458.1,1458.1,523.1
646,,504.9,1458.1,1458.1,532.9
647,,495,1458.1,1458.1,542.8
648,,485.2,1458.1,1458.1,552.6
649,,475.3,1458.1,1458.1,562.5
650,,465.5,1458.1,1458.1,572.3
651,,455.6,1458.1,1458.1,582.2
652,,445.8,1458.1,1458.1,592
653,,435.9,1458.1,1458.1,601.9
654,,426.1,1458.1,1458.1,611.7
655,,416.2,1458.1,1458.1,621.6
656,,406.4,1458.1,1458.1,631.4
657,,396.5,1458.1,1458.1,641.3
658,,386.6,1458.1,1458.1,651.1
659,,376.8,1458.1,1458.1,661
660,,366.9,1458.1,1458.1,670.8
661,,357.1,1458.1,1458.1,680.7
662,,347.2,1458.1,1458.1,690.5
663,,337.4,1458.1,1458.1,700.4
664,,327.5,1458.1,1458.1,710.3
665,,317.7,1458.1,1458.1,720.1
666,,307.8,1458.1,1458.1,730
667,,298,1458.1,1458.1,739.8
668,,288.1,1458.1,1458.1,749.7
669,,278.3,1458.1,1458.1,759.5
670,,268.4,1458.1,1458.1,769.4
671,,258.6,1458.1,1458.1,779.2
672,,248.7,1458.1,1458.1,789.1
