layer,side,wire_number,tension,tension_pass,zone,frequency,confidence,x,y,Gcode,t_sigma,wires,ttf,time
V,A,908,6.415821800077591,True,5,65.58422771281666,0.88775134,6923.7,1194.8,X6923.7 Y1194.8,0.030785961329965614,"[6.4704128466072515, 6.39738578633468, 6.42599313980348, 6.411186854082432, 6.472726010444057]",5.428707122802734,2025-01-23_11-04-49
V,A,909,6.433343340646241,True,5,65.6737215642523,0.8598552,6923.7,1200.6,X6923.7 Y1200.6,0.04692612846499469,"[6.43643091826553, 6.435825042624548, 6.4090930066565885, 6.508670807181034, 6.530680313926839]",5.304807186126709,2025-01-23_11-04-54
V,A,910,6.4803225956125985,True,5,65.91307536849526,0.77007145,6923.7,1206.3,X6923.7 Y1206.3,0.023445058070926592,"[6.474642594919885, 6.485352102529982, 6.499615326289422, 6.449291362762643, 6.435481779336011]",5.233102560043335,2025-01-23_11-05-00
V,A,911,6.269740546449453,True,5,64.8332879710676,0.7882234,6923.7,1211.9,X6923.7 Y1211.9,0.05517794522200621,"[6.24315157733433, 6.31217548812367, 6.365030148730377, 6.205182410748978, 6.277878855689899]",4.59912371635437,2025-01-23_11-05-04
V,A,912,6.52108175789636,True,5,66.12003655946658,0.7779545,6923.7,1217.7,X6923.7 Y1217.7,0.08167568388333885,"[6.475955945195796, 6.594641241057806, 6.578724754747191, 6.482091838034827, 6.368465900888499]",5.162720203399658,2025-01-23_11-05-09
V,A,913,6.638702665798909,True,5,66.71367599213332,0.7707167,6923.7,1223.5,X6923.7 Y1223.5,0.06949897372133106,"[6.488241436851435, 6.536693567107628, 6.629192558187228, 6.670434166463839, 6.644999767781766]",8.245358943939209,2025-01-23_11-05-18
V,A,914,5.847064724489137,True,5,62.609785094767524,0.7553869,6923.7,1229.3,X6923.7 Y1229.3,0.036736136641234526,"[5.871376029232735, 5.8286977453807, 5.857335321098478, 5.91569233385379, 5.809075873785624]",5.255218982696533,2025-01-23_11-05-23
V,A,915,6.686034770102119,True,5,66.9510785710866,0.7786878,6923.7,1235.1,X6923.7 Y1235.1,0.16844279870520218,"[6.307110642697669, 6.677988569437374, 6.446510084811965, 6.720433729556337, 6.72275963176271]",4.184345722198486,2025-01-23_11-05-27
V,A,916,6.299001528646339,True,5,64.9844008750686,0.8489444,6923.7,1240.9,X6923.7 Y1240.9,0.030292167315235485,"[6.308945519544866, 6.3123983230606395, 6.234334125278475, 6.289401615358839, 6.257028092410476]",4.807947874069214,2025-01-23_11-05-32
V,A,917,6.4159331600269045,True,5,65.58479688577766,0.86089516,6923.7,1246.7,X6923.7 Y1246.7,0.011638834003623456,"[6.416135832829203, 6.432430909248982, 6.403190250858643, 6.433886805405659, 6.414304167921088]",7.417842626571655,2025-01-23_11-05-39
V,A,918,6.390881565025678,True,5,65.45663074984519,0.8352481,6923.7,1252.5,X6923.7 Y1252.5,0.03513440880557054,"[6.373517513439468, 6.467148615347405, 6.369798129700605, 6.413988126160372, 6.404011338336967]",5.179966926574707,2025-01-23_11-05-45
V,A,919,6.371261635449006,True,5,65.35607798181836,0.7494085,6923.7,1258.3,X6923.7 Y1258.3,0.12838751665598863,"[6.4333972510929325, 6.3425876037740565, 6.186586165059932, 6.5132062555743016, 6.197545979399744]",4.709261178970337,2025-01-23_11-05-49
V,A,920,5.868089734778714,True,5,62.72225093882599,0.7451075,6923.7,1264.1,X6923.7 Y1264.1,0.07347763438323211,"[5.766601245297675, 5.829861507593999, 5.87891735037175, 5.987166161169048, 5.9002981890997805]",16.584725379943848,2025-01-23_11-06-06
V,A,921,6.074675357430997,True,5,63.81676704957874,0.7512866,6923.7,1269.9,X6923.7 Y1269.9,0.14697480745836067,"[5.860173886299576, 6.132766040332626, 5.751092256752236, 6.068267631763405, 6.080658809799621]",6.476857662200928,2025-01-23_11-06-12
V,A,922,6.305742921081558,True,5,65.01916576565687,0.82848036,6923.7,1275.7,X6923.7 Y1275.7,0.05606116825222397,"[6.272105009880836, 6.424184050226088, 6.274280660435184, 6.326874294949506, 6.349475392348841]",5.7965006828308105,2025-01-23_11-06-18
V,A,923,6.174254455902222,True,5,64.33769896962377,0.7578502,6923.7,1281.5,X6923.7 Y1281.5,0.0634948343233106,"[6.170133804397453, 6.173373579371393, 6.041221157990879, 6.198095133278603, 6.065596198239512]",7.261979818344116,2025-01-23_11-06-25
V,A,924,6.290249441777333,True,5,64.939239208008,0.8255893,6923.7,1287.3,X6923.7 Y1287.3,0.02632391570125282,"[6.304557978337325, 6.306425533101128, 6.260325570545525, 6.2788600382932085, 6.2375110291222535]",4.647934436798096,2025-01-23_11-06-30
V,A,925,5.82628065796415,True,5,62.498409177746815,0.7854065,6923.7,1293.1,X6923.7 Y1293.1,0.027211461443713326,"[5.826185131044661, 5.785709373753074, 5.843068478821435, 5.823530625044225, 5.77032631109492]",6.038738250732422,2025-01-23_11-06-36
V,A,926,6.3625988983370245,True,5,65.31163191034688,0.83909255,6923.7,1298.9,X6923.7 Y1298.9,0.0674214970645942,"[6.4940317496094675, 6.457891189619417, 6.31025587238974, 6.35955218660441, 6.370738431146296]",8.282188653945923,2025-01-23_11-06-44
V,A,927,6.003491298915978,True,5,63.44175744849494,0.7293801,6923.7,1304.7,X6923.7 Y1304.7,0.05459983734052274,"[6.0013514601520646, 6.096752263478496, 5.9791567199826305, 6.115599881283069, 6.012092276610266]",5.19582724571228,2025-01-23_11-06-50
V,A,928,6.602984214240957,True,5,66.53396293756045,0.7990413,6923.7,1310.5,X6923.7 Y1310.5,0.04974261301760919,"[6.549279721602239, 6.603307844346502, 6.651807031270086, 6.607464204014574, 6.508866186536788]",10.75645899772644,2025-01-23_11-07-00
V,A,929,5.77854394687967,True,5,62.24184714559128,0.80438524,6923.7,1316.3,X6923.7 Y1316.3,0.018770041966829385,"[5.736313661954279, 5.7550244027627295, 5.784987056306302, 5.775931655605058, 5.783532453409405]",5.155688047409058,2025-01-23_11-07-05
V,A,930,6.19526278812363,True,5,64.44706277734305,0.78284997,6923.7,1322.1,X6923.7 Y1322.1,0.11471568840443966,"[6.257941013622918, 6.188633373326025, 5.969378483631734, 6.1834563319549, 5.996102199774601]",12.57953667640686,2025-01-23_11-07-18
V,A,931,6.30146516555639,True,5,64.99710783479135,0.8220532,6923.7,1327.9,X6923.7 Y1327.9,0.009447485233034151,"[6.308927454709427, 6.2877750867757705, 6.295970049234914, 6.314605515511069, 6.300814503996991]",9.521418333053589,2025-01-23_11-07-28
V,A,932,5.679757820833702,True,5,61.70753121044481,0.82895386,6923.7,1333.7,X6923.7 Y1333.7,0.028568746434570157,"[5.708791623568978, 5.682117307427607, 5.676036554726531, 5.739977613430448, 5.658094364158905]",10.635562896728516,2025-01-23_11-07-38
V,A,933,6.46846849235945,True,5,65.85276216396542,0.8273816,6923.7,1339.5,X6923.7 Y1339.5,0.012572902564319609,"[6.472125882707162, 6.464926647811012, 6.447445424423431, 6.442207675035192, 6.472050142295603]",10.023618936538696,2025-01-23_11-07-48
V,A,934,6.104671883065447,True,5,63.974135454477505,0.79017425,6923.7,1345.2,X6923.7 Y1345.2,0.05533590369910666,"[6.166176665761258, 6.08656321487067, 6.224310594918849, 6.119172698880007, 6.073594047838757]",11.339770793914795,2025-01-23_11-08-00
V,A,935,6.021515645388686,True,5,63.53692200886935,0.7600302,6923.7,1350.8,X6923.7 Y1350.8,0.04156634384979304,"[6.027441417277048, 6.115736130232466, 6.066980460721313, 6.007349445663071, 6.007234815672512]",23.23371434211731,2025-01-23_11-08-23
V,A,936,6.384668394120541,True,5,65.42480477061602,0.83790857,6923.7,1355.7,X6923.7 Y1355.7,0.02091377580716158,"[6.379095909402501, 6.391524274176675, 6.413321122206061, 6.427765483769811, 6.3720236432265605]",5.852843284606934,2025-01-23_11-08-29
V,A,937,6.544639776530902,True,5,66.2393613012065,0.7993272,6923.7,1361.4,X6923.7 Y1361.4,0.03957371443158866,"[6.480195668008493, 6.542415467273911, 6.51268666007681, 6.562655844765509, 6.594765838983401]",4.6394362449646,2025-01-23_11-08-33
V,A,938,5.954217038803787,True,5,63.180868717654064,0.7791841,6923.7,1367.0,X6923.7 Y1367.0,0.10905753978808043,"[6.080156476443607, 5.995074438709431, 6.1832740452725865, 5.898964115209077, 5.9005332186341155]",9.746463775634766,2025-01-23_11-08-43
V,A,557,5.91039778562152,True,4,88.80866525230998,0.7887186,5364.7,275.4,X5364.7 Y275.4,0.07799276557526158,"[5.874013170591036, 6.020069409186473, 5.783174022997589, 5.905335434563457, 5.9420344649510985]",7.666711807250977,2025-01-23_11-11-52
V,A,558,5.184933390904082,True,4,82.45211084897475,0.85743594,5372.7,275.4,X5372.7 Y275.4,0.13209909536620823,"[5.2193684093625015, 5.320546849588249, 5.4700701515541175, 5.105328830488403, 5.140537981655177]",4.769925594329834,2025-01-23_11-11-57
V,A,557,4.973112737133453,True,4,81.46313880913965,0.60400665,5372.7,275.4,X5372.7 Y275.4,1.9021912916876338,"[5.179305195314299, 4.469360631902859, 4.205070112891803, 4.161375994425538, 5.278884903926985, 1.1549220178252166, 4.400520857989047, 1.0467262423161572, 5.273772695838319, 5.132223761812337, 1.03709416801519, 1.0658006023012263, 2.388155159881542, 2.4587760892633375, 5.291626221639622, 6.482598735424158, 1.1008849601444644, 1.0521257513639608, 6.598455139868259, 5.364864042317159, 4.530337155471357, 6.4413892975978655, 1.1028949902115457, 1.0371202921530616, 1.0396974413070503, 5.000788457016647, 6.919593270201369, 1.0299186731231582, 5.377980147690421, 4.810230224374898, 4.308952780147541, 1.0627857867123487, 1.0737550871154244, 5.334610875479129, 4.947061698958044, 4.908525654676335, 1.0574424354409926, 4.133680960695127, 5.212786318797115, 4.270523875138049, 6.737366115705453, 0.9952026551758729, 5.266483993583869, 5.349118896373202, 4.570073726856637, 1.6072208732842845, 1.137081049717116, 1.0523323712209707, 5.249099231035275, 4.364966071756089, 4.200147203185731, 4.190356332872016, 5.318199048108898, 5.295385653543271, 5.30211174204304, 1.0238399076043374, 1.0430256455605116, 5.580403921879049, 5.236938541027092, 3.9904649202396687, 4.671441008785066, 4.298502802349921, 5.532921096971815, 5.339196535650021, 4.216613965844041, 4.460181527584659, 1.12693665855658, 1.1029211512482027, 5.194320161945259, 4.882277473724283, 4.2705398514623365, 4.355436590434244, 4.259096106106404, 5.587803664459339, 5.1832365532623665, 4.9743578085881905, 4.881306529225539, 4.912535681056789, 1.0691104544485475, 5.287733526226711, 4.831787035934138, 4.125534958986661, 1.0610658366359793, 1.0451053905571208, 5.357184478234254, 4.580948943492974, 4.5775018607268, 1.0457552631843678, 6.569379676864277, 5.415301846313198, 5.279183232620738, 6.618493439274951, 1.0658522262227603, 1.0313046097415686, 5.407537458346487, 5.37098225970381, 1.0697299764318995, 1.0407794476539056, 2.4262590154441264, 5.340402546554965]",34.388296127319336,2025-01-23_11-13-39
