apa_name,k,raw_mode,global_raw_mode,coverage_A,coverage_B,n_A,n_B,source_A,source_B
UKAPA7,1.0446095658580128,5.349625652699199,5.588270130568999,0.33801580333625986,0.5627743634767339,385,641,,db
USAPA10,0.9962559481918528,5.609271533797502,5.588270130568999,1.0,0.9991220368744512,1139,1138,db,db
USAPA11,0.992526545773179,5.630348280726065,5.588270130568999,1.0,0.9991220368744512,1139,1138,db,db
USAPA4,0.9798171813010597,5.703380423630213,5.588270130568999,0.9824407374890255,0.9815627743634767,1119,1118,csv,csv
USAPA5,1.0084866207879484,5.541243696622157,5.588270130568999,0.9912203687445127,0.9885864793678666,1129,1126,csv,csv
USAPA6,1.0148318927014741,5.5065968765457995,5.588270130568999,0.8086040386303776,0.9806848112379281,921,1117,csv,csv
USAPA7,0.9949325414483282,5.616732690674813,5.588270130568999,1.0,1.0,1139,1139,csv,csv
USAPA9,0.9990951326597877,5.593331353433706,5.588270130568999,0.9991220368744512,0.9780509218612818,1138,1114,db,db
