apa_name,k,raw_mode,global_raw_mode,coverage_A,coverage_B,n_A,n_B,source_A,source_B
APA 00004-US,1.0,,,0.9938542581211589,0.9938542581211589,1132,1132,dunedb,dunedb
APA 00005-US,1.0,,,0.9938542581211589,0.9938542581211589,1132,1132,dunedb,dunedb
APA 00006-US,1.0,,,0.9938542581211589,0.9938542581211589,1132,1132,dunedb,dunedb
APA 00007-US,1.0,,,0.9938542581211589,0.9938542581211589,1132,1132,dunedb,dunedb
APA 00008-US,1.0,,,0.9938542581211589,0.9938542581211589,1132,1132,dunedb,dunedb
APA 00009-US,1.0,,,0.9929762949956101,0.9929762949956101,1131,1131,dunedb,dunedb
APA 00010-US,1.0,,,0.9938542581211589,0.9938542581211589,1132,1132,dunedb,dunedb
APA 00011-US,1.0,,,0.9938542581211589,0.9938542581211589,1132,1132,dunedb,dunedb
