apa_name,k,raw_mode,global_raw_mode,coverage_A,coverage_B,n_A,n_B,source_A,source_B
USAPA11,1.0470093780227054,5.658304808504799,5.924298198215493,1.0,1.0,480,480,db,db
USAPA12,1.1214382304715884,5.282768178613102,5.924298198215493,1.0,1.0,480,480,db,db
USAPA5,0.9958149496111504,5.949195882757972,5.924298198215493,1.0,1.0,480,480,csv,csv
USAPA7,1.0835660324148695,5.4674085574761095,5.924298198215493,1.0,1.0,480,480,csv,csv
USAPA9,0.9763458598561886,6.067827438821849,5.924298198215493,1.0,1.0,480,480,csv,csv
