wire_number,json_A,json_B,summary_A,summary_B,diff_A,diff_B
1,5.4,6.54,,6.154600971919177,,-0.3853990280808226
2,5.94,6.36,,6.007195774242234,,-0.35280422575776615
3,6.03,6.51,,6.210518819494465,,-0.29948118050553507
4,6.33,6.7,,6.691627320222282,,-0.008372679777718162
5,6.17,6.56,,6.5973701485596905,,0.0373701485596909
6,6.41,6.61,,5.97189060148801,,-0.6381093985119906
7,5.99,6.27,,6.312398814554046,,0.042398814554046815
8,6.13,6.41,,5.788609451170711,,-0.6213905488292895
9,6.03,6.4,,5.787117663598873,,-0.6128823364011273
10,6.13,6.1,,5.699383218571996,,-0.4006167814280035
11,6.51,6.7,,5.697375523137778,,-1.0026244768622226
12,6.57,6.1,,6.548717886369098,,0.4487178863690984
13,6.52,6.17,,6.359397206464796,,0.18939720646479596
14,6.36,6.33,,6.571911598253735,,0.24191159825373454
15,6.17,6.43,,6.325568507871971,,-0.10443149212802894
16,6.35,5.94,,5.886767393862953,,-0.05323260613704761
17,6.57,6.27,,5.924095906977913,,-0.3459040930220869
18,6.44,6.21,,6.022508403039669,,-0.18749159696033058
19,6.43,6.08,,5.934956998059939,,-0.1450430019400608
20,6.08,6.4,,6.2784906292094576,,-0.1215093707905428
21,6.17,6.1,,5.85425000697682,,-0.24574999302317924
22,6.35,6.7,,6.119697800930736,,-0.5803021990692638
23,6.32,6.48,,6.038436129619182,,-0.44156387038081846
24,6.69,6.27,,5.938537268221135,,-0.3314627317788643
25,6.49,6.59,,5.836024862203619,,-0.753975137796381
26,6.43,6.05,,5.712358103093051,,-0.33764189690694923
27,6.4,6.05,,6.057896776016096,,0.007896776016096396
28,6.32,6.02,,5.923088998665326,,-0.09691100133467323
29,6.13,6.36,,6.2605258456672335,,-0.09947415433276685
30,6.08,6.21,,5.804880527789734,,-0.40511947221026556
31,6.05,5.94,,6.155346006914273,,0.21534600691427297
32,6.1,6.03,,5.639206807372957,,-0.3907931926270436
33,6.4,6.38,,6.215137372723451,,-0.1648626272765492
34,6.08,6.11,,5.955687467301271,,-0.15431253269872958
35,6.52,6.62,,6.056016137647886,,-0.5639838623521145
36,6.36,6.27,,6.181052520899481,,-0.08894747910051848
37,6.51,6.56,,6.225636494523506,,-0.3343635054764933
38,6.05,6.38,,5.699354169530947,,-0.6806458304690528
39,6.4,6.0,,5.433651191232238,,-0.5663488087677617
40,6.05,6.64,,6.155653935680946,,-0.4843460643190536
41,6.35,6.17,,6.09591573985002,,-0.07408426014997982
42,6.13,6.35,,5.921517208190295,,-0.4284827918097047
43,5.99,6.06,,6.62008247498314,,0.5600824749831403
44,6.03,6.69,,5.939793405436537,,-0.7502065945634637
45,6.16,6.08,,5.742551405984353,,-0.33744859401564664
46,6.54,6.35,,6.363383201161136,,0.013383201161136782
47,6.38,6.24,,5.538254023930056,,-0.7017459760699438
48,6.3,6.22,,6.022422403115427,,-0.19757759688457277
49,6.51,6.28,,6.452771991113062,,0.17277199111306185
50,6.38,6.95,,6.644417045977803,,-0.3055829540221975
51,6.48,6.44,,5.485597673519597,,-0.9544023264804036
52,6.21,6.43,,5.923088998665326,,-0.5069110013346734
53,6.17,6.43,,6.556832579638926,,0.12683257963892647
54,5.89,6.46,,5.48403717647612,,-0.9759628235238802
55,6.11,6.35,,6.322424104017082,,-0.027575895982917764
56,6.28,6.92,,6.327415857688647,,-0.5925841423113534
57,6.44,6.75,,5.951217416418224,,-0.7987825835817759
58,6.36,6.05,,6.147621327906809,,0.09762132790680944
59,6.25,6.85,,5.843299509813522,,-1.0067004901864776
60,6.22,6.27,,6.133420783748304,,-0.1365792162516959
61,6.51,6.67,,6.057842868304363,,-0.6121571316956373
62,6.1,6.14,,6.217585040284671,,0.07758504028467161
63,6.03,6.38,,5.727627102236586,,-0.6523728977634136
64,6.28,6.69,,5.504092020165563,,-1.185907979834437
65,6.41,6.52,,5.938609620017157,,-0.5813903799828424
66,6.05,6.06,,6.30698516551758,,0.24698516551758054
67,5.76,6.57,,5.629559901362965,,-0.9404400986370351
68,6.0,6.44,,5.67755576474697,,-0.7624442352530307
69,6.17,6.32,,5.867681667064788,,-0.45231833293521184
70,5.97,6.51,,6.058867155842825,,-0.4511328441571747
71,6.06,6.4,,5.484033757076985,,-0.9159662429230151
72,6.0,6.13,,5.415362882974614,,-0.7146371170253856
73,6.41,6.98,,6.397263487550035,,-0.5827365124499657
74,6.11,6.36,,5.923609026508123,,-0.4363909734918776
75,5.96,6.19,,5.970217208258019,,-0.21978279174198168
76,6.06,6.43,,5.491496282001187,,-0.9385037179988132
77,6.85,6.06,,5.69934022601754,,-0.3606597739824595
78,6.25,6.14,,5.880916257842658,,-0.2590837421573413
79,6.16,6.4,,6.149016457147088,,-0.2509835428529126
80,6.14,6.24,,6.1931506405130445,,-0.04684935948695568
81,5.97,6.06,,6.015371305142799,,-0.04462869485720056
82,6.06,6.21,,6.192928983518161,,-0.01707101648183862
83,5.65,6.13,,6.151805983284186,,0.021805983284186148
84,6.03,6.17,,6.208739551521956,,0.03873955152195574
85,6.3,6.1,,6.383768460513656,,0.2837684605136568
86,6.13,6.14,,6.159221640525163,,0.019221640525163508
87,6.0,6.28,,6.885108688397701,,0.605108688397701
88,5.89,6.32,,6.316184123894369,,-0.0038158761056310553
89,6.22,6.03,,6.330044725515664,,0.3000447255156642
90,6.28,6.27,,6.174079658896434,,-0.0959203411035654
91,6.03,6.43,,5.81269312329324,,-0.6173068767067598
92,6.36,6.08,,5.592143635630061,,-0.4878563643699394
93,5.89,6.05,,6.79808617575172,,0.7480861757517205
94,6.05,6.51,,5.8275785530389,,-0.6824214469610999
95,6.19,6.36,,5.462943845324552,,-0.8970561546754485
96,6.1,6.43,,5.528761415849287,,-0.9012385841507129
97,5.96,6.38,,5.276888160599528,,-1.103111839400472
98,6.14,6.02,,6.027570340956685,,0.007570340956685406
99,6.25,6.1,,6.127283237406274,,0.02728323740627392
100,5.83,6.3,,5.659885880631031,,-0.6401141193689686
101,6.11,6.06,,5.564791908328746,,-0.49520809167125357
102,6.28,6.48,,5.627151197111563,,-0.8528488028884373
103,6.32,6.27,,5.397427666374876,,-0.8725723336251239
104,5.97,5.79,,6.079707115291966,,0.28970711529196613
105,6.19,6.21,,6.432553277363032,,0.22255327736303165
106,6.28,6.28,,5.75327638030379,,-0.5267236196962104
107,5.89,6.19,,6.315693620805165,,0.12569362080516466
108,5.96,6.4,,5.602564850346598,,-0.7974351496534027
109,6.32,6.49,,6.160598756310405,,-0.32940124368959545
110,5.59,6.38,,5.276872507690044,,-1.103127492309956
111,5.53,5.88,,5.48403717647612,,-0.3959628235238801
112,6.05,6.46,,5.4050483089438925,,-1.0549516910561074
113,5.88,6.24,,6.102213098230231,,-0.13778690176976927
114,5.7,6.22,,5.591713177595198,,-0.6282868224048022
115,5.85,6.24,,5.256447390086985,,-0.9835526099130156
116,5.91,6.21,,5.247581972421265,,-0.9624180275787353
117,5.94,6.49,,5.380835174074399,,-1.1091648259256015
118,5.96,6.4,,6.637231360341098,,0.23723136034109782
119,5.96,6.1,,5.381375990265681,,-0.7186240097343184
120,6.72,6.49,,5.93796439988923,,-0.55203560011077
121,6.36,6.49,,5.699337902100296,,-0.7906620978997045
122,5.77,6.24,,5.293012906163231,,-0.9469870938367695
123,5.7,5.92,,6.461193240621332,,0.5411932406213324
124,6.27,5.97,,5.697890193751466,,-0.2721098062485341
125,5.7,6.05,,5.717615033617777,,-0.3323849663822225
126,5.8,6.03,,5.929291728785083,,-0.10070827121491721
127,6.06,6.22,,6.369173525796879,,0.14917352579687915
128,6.13,6.13,,5.923083075928436,,-0.2069169240715638
129,6.05,6.02,,6.1963608722177055,,0.1763608722177059
130,6.06,6.11,,6.17687607327835,,0.06687607327834932
131,6.21,5.88,,5.616454515866376,,-0.26354548413362355
132,6.17,6.11,,5.763789341381688,,-0.346210658618312
133,6.03,6.35,,6.466567453800537,,0.11656745380053746
134,5.96,5.97,,6.527838185436813,,0.5578381854368129
135,5.74,6.33,,6.316867924321824,,-0.013132075678176314
136,6.13,5.86,,5.468173532410235,,-0.39182646758976514
137,6.28,6.05,,5.931484491813548,,-0.11851550818645151
138,5.92,6.03,,6.031768929510536,,0.001768929510535422
139,5.79,6.14,,5.70088457378662,,-0.4391154262133794
140,6.02,5.83,,6.165300229268959,,0.33530022926895864
141,5.99,5.76,,5.735011063230513,,-0.024988936769486436
142,6.33,5.86,,5.345222773625575,,-0.5147772263744255
143,5.74,6.22,,5.880743931930012,,-0.33925606806998765
144,6.05,6.08,,5.7746066358317645,,-0.3053933641682356
145,6.08,5.83,,5.484046294879023,,-0.34595370512097734
146,5.82,5.79,,5.521834013966168,,-0.2681659860338321
147,6.25,6.05,,5.48403717647612,,-0.56596282352388
148,6.08,5.74,,6.625870641044044,,0.8858706410440442
149,5.96,5.91,,6.324868323831838,,0.414868323831838
150,5.83,5.89,,6.050571120785942,,0.16057112078594216
151,6.08,5.91,,5.923081891381413,,0.013081891381412802
152,5.74,5.73,,5.699336740141852,,-0.030663259858147995
153,5.85,5.79,,5.267182226405619,,-0.5228177735943813
154,5.99,6.16,,5.98072886263023,,-0.17927113736976974
155,5.73,6.11,,5.700139681663916,,-0.4098603183360847
156,6.06,5.94,,6.277946713636924,,0.3379467136369234
157,5.73,5.77,,6.270602503049997,,0.500602503049997
158,5.94,5.88,,5.4652238451177215,,-0.41477615488227837
159,5.7,5.89,,5.182077699178426,,-0.7079223008215738
160,5.91,5.79,,5.75000916870749,,-0.03999083129250991
161,5.89,5.91,,5.996632271244057,,0.08663227124405726
162,5.74,6.03,,5.297991466151765,,-0.7320085338482354
163,6.16,5.99,,5.257063383938176,,-0.7329366160618243
164,5.86,5.96,,5.310240047271904,,-0.649759952728096
165,6.03,5.92,,5.174966933887269,,-0.7450330661127307
166,6.28,5.77,,6.087935426595283,,0.31793542659528384
167,5.77,5.96,,5.923136380667066,,-0.036863619332933695
168,5.79,5.68,,5.077562848862561,,-0.6024371511374387
169,6.02,5.35,,5.450329399785242,,0.10032939978524258
170,6.1,5.92,,5.200123476660995,,-0.7198765233390052
171,5.74,5.97,,5.776912159495548,,-0.19308784050445205
172,5.86,5.92,,5.243642454832895,,-0.6763575451671047
173,5.94,6.02,,6.017675443355466,,-0.002324556644533793
174,5.86,5.99,,5.091331946460325,,-0.8986680535396756
175,5.74,6.22,,5.704071541567768,,-0.5159284584322315
176,5.76,5.76,,5.208275581040137,,-0.5517244189598625
177,5.91,5.88,,7.00450572140128,,1.1245057214012801
178,6.06,6.17,,5.484038316276068,,-0.6859616837239315
179,5.79,5.91,,5.7061373861325215,,-0.20386261386747861
180,5.85,5.65,,5.0857566511562124,,-0.5642433488437879
181,5.89,6.0,,5.48403717647612,,-0.5159628235238802
182,6.06,5.92,,5.07752884979269,,-0.8424711502073103
183,6.24,5.73,,5.545363636728996,,-0.18463636327100463
184,6.21,5.79,,5.759300799835367,,-0.03069920016463268
185,5.74,5.73,,5.34187445931214,,-0.3881255406878603
186,5.97,5.71,,5.270978602203941,,-0.43902139779605864
187,6.22,5.82,,5.705014320123543,,-0.11498567987645725
188,5.74,6.21,,5.89885430258605,,-0.3111456974139504
189,6.1,6.02,,5.602446189679223,,-0.41755381032077654
190,6.17,5.99,,5.563976743706827,,-0.42602325629317317
191,6.24,5.82,,5.773780923456892,,-0.04621907654310853
192,5.96,5.64,,6.1596395909757256,,0.5196395909757259
193,5.96,5.92,,5.243211137426697,,-0.6767888625733027
194,6.03,5.85,,5.923130457906485,,0.07313045790648509
195,5.73,6.06,,6.097046596761349,,0.037046596761349804
196,5.83,6.16,,5.466086364239942,,-0.6939136357600582
197,6.14,5.88,,5.594874092130674,,-0.28512590786932623
198,6.17,5.96,,6.767177371568466,,0.807177371568466
199,5.88,5.7,,6.176657126990792,,0.47665712699079155
200,5.92,5.88,,6.59390142466591,,0.7139014246659103
201,5.86,6.16,,6.139909941235852,,-0.020090058764147933
202,5.65,6.08,,6.445771041134687,,0.3657710411346873
203,5.08,5.86,,6.267543683901039,,0.40754368390103846
204,5.79,5.88,,6.478693927698124,,0.5986939276981245
205,5.8,6.25,,6.439535931500702,,0.1895359315007017
206,5.74,6.08,,6.705102195461263,,0.6251021954612632
207,5.74,5.73,,6.04027934646344,,0.3102793464634397
208,5.64,5.68,,6.099127118627616,,0.41912711862761665
209,6.06,6.0,,6.155624953821628,,0.15562495382162833
210,6.06,5.89,,6.161765801223773,,0.2717658012237729
211,5.92,5.86,,6.157807237125063,,0.2978072371250624
212,6.03,5.73,,5.276889278665379,,-0.45311072133462105
213,5.73,6.1,,6.036430560421373,,-0.06356943957862704
214,5.83,5.8,,5.606287746725912,,-0.1937122532740876
215,5.76,6.03,,5.276872507690044,,-0.7531274923099565
216,6.14,6.03,,5.4783271263497815,,-0.5516728736502188
217,6.05,5.74,,5.703050964076489,,-0.036949035923511175
218,5.88,6.17,,5.500905488608841,,-0.669094511391159
219,6.05,5.99,,6.759376391851904,,0.7693763918519041
220,6.02,5.97,,5.864982080804785,,-0.10501791919521519
221,6.13,5.96,,5.62309013001604,,-0.3369098699839599
222,5.86,5.85,,5.784701235249475,,-0.06529876475052454
223,5.76,6.05,,5.728962085142052,,-0.3210379148579481
224,5.73,5.99,,6.110191932810728,,0.12019193281072749
225,5.71,6.05,,5.699225192682735,,-0.35077480731726496
226,5.92,5.67,,5.0774696258783,,-0.5925303741216998
227,6.11,5.96,,5.923971519553572,,-0.03602848044642837
