wire_number,A_baseline_json_value,B_reversed_json_value,A_baseline_mapped_wire,B_reversed_mapped_wire,A_baseline_residual,B_reversed_residual,A_baseline_summary_value,B_reversed_summary_value
202,5.65,5.59,202,280,0.2548515482278493,0.8557710411346875,5.90485154822785,6.445771041134687
203,5.08,5.59,203,279,0.06695805652234643,0.6775436839010389,5.1469580565223465,6.267543683901039
204,5.79,5.89,204,278,0.23460364643211395,0.5886939276981247,6.024603646432114,6.478693927698124
205,5.8,5.79,205,277,-0.35244052708196705,0.6495359315007017,5.447559472918033,6.439535931500702
206,5.74,5.74,206,276,-0.4508596791592572,0.9651021954612631,5.289140320840743,6.705102195461263
207,5.74,5.59,207,275,-0.42685462822725295,0.45027934646344026,5.313145371772747,6.04027934646344
208,5.64,5.77,208,274,-0.03331465645388221,0.3291271186276168,5.6066853435461175,6.099127118627616
209,6.06,5.99,209,273,-0.5145504012976012,0.16562495382162812,5.545449598702398,6.155624953821628
210,6.06,5.99,210,272,0.4358275213978038,0.17176580122377239,6.495827521397803,6.161765801223773
211,5.92,5.74,211,271,0.3055599860547371,0.4178072371250625,6.225559986054737,6.157807237125063
212,6.03,5.82,212,270,0.016693922983844978,-0.5431107213346209,6.046693922983845,5.276889278665379
213,5.73,5.76,213,269,-0.2694061953932918,0.2764305604213728,5.460593804606709,6.036430560421373
214,5.83,5.76,214,268,0.40046598007694634,-0.15371225327408755,6.230465980076946,5.606287746725912
215,5.76,6.0,215,267,0.8021466679060181,-0.7231274923099562,6.562146667906018,5.276872507690044
216,6.14,5.76,216,266,-0.46074393506984546,-0.2816728736502183,5.679256064930154,5.4783271263497815
217,6.05,5.8,217,265,-0.5396372621887426,-0.09694903592351078,5.510362737811257,5.703050964076489
218,5.88,5.68,218,264,0.5643117526083348,-0.17909451139115884,6.444311752608335,5.500905488608841
219,6.05,5.76,219,263,-0.3836579782854397,0.9993763918519045,5.66634202171456,6.759376391851904
220,6.02,5.92,220,262,-0.16375253833551806,-0.05501791919521537,5.8562474616644815,5.864982080804785
221,6.13,5.91,221,261,0.3412009938880889,-0.28690986998396006,6.471200993888089,5.62309013001604
