side,wire_number,x,y,time
B,130,1933.0,275.8,2024-11-21_10-07-29
B,131,1941.0,275.8,2024-11-21_10-07-30
B,132,1949.0,275.8,2024-11-21_10-07-32
B,133,1957.0,275.8,2024-11-21_10-07-33
B,134,1965.0,275.8,2024-11-21_10-07-34
B,135,1973.0,275.8,2024-11-21_10-07-34
B,136,1981.0,275.8,2024-11-21_10-07-35
B,137,1989.0,275.8,2024-11-21_10-07-36
B,138,1997.0,275.8,2024-11-21_10-07-37
B,139,2005.0,275.8,2024-11-21_10-07-38
B,140,2013.0,275.8,2024-11-21_10-07-39
B,141,2021.0,275.8,2024-11-21_10-07-40
B,142,2029.0,275.8,2024-11-21_10-07-41
B,143,2037.0,275.8,2024-11-21_10-07-43
B,144,2045.0,275.8,2024-11-21_10-07-44
B,145,2053.0,275.8,2024-11-21_10-07-45
B,146,2061.0,275.8,2024-11-21_10-07-46
B,147,2069.0,275.8,2024-11-21_10-07-47
B,148,2077.0,275.8,2024-11-21_10-07-48
B,149,2085.0,275.8,2024-11-21_10-07-49
B,150,2093.0,275.8,2024-11-21_10-07-50
B,151,2101.0,275.8,2024-11-21_10-07-52
B,152,2109.0,275.8,2024-11-21_10-07-55
B,153,2117.0,275.8,2024-11-21_10-07-57
B,154,2125.0,275.8,2024-11-21_10-07-57
B,155,2125.0,281.5,2024-11-21_10-07-58
B,156,2125.0,287.2,2024-11-21_10-08-01
B,157,2125.0,293.0,2024-11-21_10-08-03
B,158,2125.0,298.8,2024-11-21_10-08-04
B,159,2125.0,304.5,2024-11-21_10-08-13
B,160,2125.0,310.2,2024-11-21_10-08-18
B,161,2125.0,316.0,2024-11-21_10-08-21
B,162,2125.0,321.8,2024-11-21_10-08-23
B,163,2125.0,327.5,2024-11-21_10-08-24
B,164,2125.0,333.2,2024-11-21_10-08-26
B,165,2125.0,339.0,2024-11-21_10-08-27
B,166,2125.0,344.8,2024-11-21_10-08-28
B,167,2125.0,350.5,2024-11-21_10-08-30
B,168,2125.0,356.2,2024-11-21_10-08-31
B,169,2125.0,362.0,2024-11-21_10-08-32
B,170,2125.0,367.8,2024-11-21_10-08-33
B,171,2125.0,373.5,2024-11-21_10-08-35
B,172,2125.0,379.2,2024-11-21_10-08-37
B,173,2125.0,385.0,2024-11-21_10-08-38
B,174,2125.0,390.8,2024-11-21_10-08-40
B,175,2125.0,396.5,2024-11-21_10-08-41
B,176,2125.0,402.2,2024-11-21_10-08-42
B,177,2125.0,408.0,2024-11-21_10-08-43
B,178,2125.0,413.8,2024-11-21_10-08-45
B,179,2125.0,419.5,2024-11-21_10-08-47
B,180,2333.0,275.8,2024-11-21_10-08-52
B,181,2341.0,275.8,2024-11-21_10-08-54
B,182,2349.0,275.8,2024-11-21_10-08-57
B,183,2357.0,275.8,2024-11-21_10-08-58
B,184,2365.0,275.8,2024-11-21_10-08-59
B,185,2373.0,275.8,2024-11-21_10-09-00
B,186,2381.0,275.8,2024-11-21_10-09-15
B,187,2389.0,275.8,2024-11-21_10-09-17
B,188,2397.0,275.8,2024-11-21_10-09-21
B,189,2405.0,275.8,2024-11-21_10-09-29
B,190,2413.0,275.8,2024-11-21_10-09-31
B,191,2421.0,275.8,2024-11-21_10-09-34
B,192,2429.0,275.8,2024-11-21_10-09-35
B,193,2437.0,275.8,2024-11-21_10-09-39
B,194,2445.0,275.8,2024-11-21_10-09-42
B,195,2453.0,275.8,2024-11-21_10-09-43
B,196,2461.0,275.8,2024-11-21_10-09-45
B,197,2469.0,275.8,2024-11-21_10-09-47
B,198,2477.0,275.8,2024-11-21_10-09-54
B,199,2485.0,275.8,2024-11-21_10-10-02
B,200,2493.0,275.8,2024-11-21_10-10-05
B,201,2501.0,275.8,2024-11-21_10-10-07
B,202,2509.0,275.8,2024-11-21_10-10-09
B,203,2517.0,275.8,2024-11-21_10-10-10
B,204,2525.0,275.8,2024-11-21_10-10-12
B,205,2533.0,275.8,2024-11-21_10-10-15
B,206,2541.0,275.8,2024-11-21_10-10-20
B,207,2549.0,275.8,2024-11-21_10-10-21
B,208,2557.0,275.8,2024-11-21_10-10-23
B,209,2565.0,275.8,2024-11-21_10-10-26
B,210,2573.0,275.8,2024-11-21_10-10-27
B,211,2581.0,275.8,2024-11-21_10-10-30
B,212,2589.0,275.8,2024-11-21_10-10-32
B,213,2597.0,275.8,2024-11-21_10-10-35
B,214,2605.0,275.8,2024-11-21_10-10-37
B,215,2613.0,275.8,2024-11-21_10-10-38
B,216,2621.0,275.8,2024-11-21_10-10-40
B,217,2629.0,275.8,2024-11-21_10-10-41
B,218,2637.0,275.8,2024-11-21_10-10-43
B,219,2645.0,275.8,2024-11-21_10-10-44
B,220,2653.0,275.8,2024-11-21_10-10-46
B,221,2661.0,275.8,2024-11-21_10-10-47
B,222,2669.0,275.8,2024-11-21_10-10-51
B,223,2677.0,275.8,2024-11-21_10-10-55
B,224,2685.0,275.8,2024-11-21_10-10-58
B,225,2693.0,275.8,2024-11-21_10-11-03
B,226,2701.0,275.8,2024-11-21_10-11-06
B,227,2709.0,275.8,2024-11-21_10-11-08
