Difference,Component,Mean,StdDev,Weight,log_likelihood
a1-a2,1,-0.007457718378478617,0.04356498346795342,0.90714832018577,1.4081327315951324
a1-a2,2,0.18468813212955537,0.09576387727448654,0.09285167981423001,1.4081327315951324
a1-a3,1,0.007662397170563689,0.03152204413181687,0.7521093784199919,1.5465906680645432
a1-a3,2,0.022614325758734535,0.10370280801289014,0.24789062158000819,1.5465906680645432
a1-a4,1,0.006100428731090208,0.050922157491456406,0.8356503439312718,1.2505009847710111
a1-a4,2,0.05211736877109296,0.15931740701866842,0.16434965606872823,1.2505009847710111
a2-a3,1,0.01223512811819214,0.0464404558884678,0.9132246405032326,1.4457453706015186
a2-a3,2,-0.11740576016913579,0.06975461030271876,0.08677535949676746,1.4457453706015186
a2-a4,1,-5.6474034190622625e-05,0.043719478872560016,0.6666289804313873,1.2375871375321328
a2-a4,2,0.009951667729246681,0.11657502659407712,0.3333710195686128,1.2375871375321328
a3-a4,1,0.06269586148944607,0.11786845511432104,0.17586399561332056,1.3531568213361425
a3-a4,2,-0.010594717019500384,0.04528279110492896,0.8241360043866796,1.3531568213361425
