a1,a2,a3,a4
6.15,6.06,6.36,6.1589747
6.17,6.03,6.16,6.149936487
5.99,5.35,5.87,5.959176779
6.08,6.03,6.1,6.096051345
6.17,5.95,6.09,6.146810471
6.1,6.05,6.06,5.963523233
5.94,5.81,5.96,5.941703438
6.28,6.37,6.19,6.387922787
6.1,6.1,6.24,6.121872175
6.15,5.77,6.07,6.072051928
5.93,5.84,5.77,5.869218741
6.37,5.83,6.15,6.164489775
6.07,5.89,5.81,6.021786605
6.27,6.17,6.16,6.288307674
6.02,5.98,6.05,6.056888503
6.4,6.5,6.35,6.459941543
5.91,5.9,5.67,5.95560558
6.25,6.14,6.1,6.1487948
6.03,5.85,5.99,5.975400638
6.2,6.02,6.21,6.277025831
6.04,5.31,5.92,6.009543027
6.02,5.95,5.95,6.017994353
6.07,5.94,6.02,6.063517577
6.31,5.95,6.04,6.177090641
6.22,6.17,6.36,6.393394548
6.13,6.1,6.05,6.135011159
5.8,5.69,5.81,5.84297706
6.03,5.89,6.01,6.033790962
5.89,5.5,5.87,5.959030039
6.01,5.3,5.76,5.983879187
6.57,5.85,5.93,5.991076586
6.19,5.58,6.04,6.162105498
6.15,6.02,5.99,6.091829935
6,5.72,6.03,6.048073838
6.08,5.97,5.99,5.994575862
6.16,6.04,6.15,6.237754603
6,5.74,5.86,5.992223831
6.46,5.94,5.98,6.166452959
5.96,5.84,5.84,6.011929409
6.03,5.9,5.89,6.010851318
6.14,5.92,6.07,6.159827069
5.91,5.74,5.7,5.882925442
6.02,5.84,5.99,6.048364973
6.09,5.95,6.02,6.153903895
6.13,5.96,6.09,6.084888122
6.09,5.84,6.05,6.120626445
5.99,5.82,5.98,5.976258735
6.45,6.04,6.35,6.450252285
6.04,5.86,5.98,6.038274532
6.07,5.83,5.99,6.015948619
5.85,5.74,5.63,5.821807571
5.97,5.84,5.93,5.960725184
6.1,5.94,6.02,6.070531411
6.04,5.85,5.96,6.007163924
6.01,5.83,5.9,5.993598391
5.99,5.79,5.62,5.973785656
5.96,5.79,5.91,6.028640407
6.15,5.95,5.94,6.113862894
6.35,6.02,6.04,6.20709928
5.98,5.79,5.94,5.919099818
6.03,5.82,5.84,5.996198241
5.97,5.82,5.52,6.032130256
5.97,5.63,5.93,5.979298464
5.98,5.99,5.98,6.053325577
5.92,5.71,5.37,5.862796385
5.94,5.95,5.94,5.988268552
5.96,5.75,5.86,5.991459819
5.79,5.75,5.79,5.934819592
6.12,6.05,6.01,6.019534351
6.04,5.77,5.97,6.066213693
5.98,5.77,5.94,5.906356499
6.14,5.96,5.87,6.067595402
5.77,5.74,5.97,5.854237852
5.94,5.81,5.88,5.871268618
6,5.75,5.81,5.954618456
5.94,5.25,5.77,5.916105356
6.07,5.94,6.04,6.190653373
6.05,5.88,5.97,6.064201172
5.95,5.76,5.82,5.89908973
6,5.84,5.89,6.007010775
6.2,5.75,5.85,6.003597977
6.06,5.88,5.81,5.979880662
6.22,5.93,6.14,6.073368158
6.08,5.84,5.89,5.994033954
6.14,6.16,6.16,6.41353388
6.09,5.97,6.17,6.38495158
6.08,6.05,5.69,5.912042491
6,6.03,6.09,6.036713316
6.16,6.36,6.46,6.118607539
6.39,6.42,6.4,6.463885708
6.04,6.04,6.03,6.052982706
6.23,6.53,6.49,6.440423609
6.13,6.45,6.62,6.219756996
5.87,5.64,6,5.998040574
5.97,6.03,6.04,6.073453483
6.31,6.55,6.41,6.544895301
6.04,5.88,5.95,5.963747082
6.33,6.08,6.34,6.577394741
6.05,6.01,6.07,6.0080228
6.42,6.42,6.39,6.364133345
5.95,5.98,5.93,5.954337928
6.14,6.28,6.13,6.104326732
5.82,5.31,5.83,5.917949766
5.96,5.98,5.95,6.011512131
6.05,6.04,6.16,5.968205722
6.27,5.91,6.23,6.162671641
6.54,6.27,6.54,6.518167625
6.68,6.51,6.65,6.535085919
6.39,6.49,6.45,6.527870649
6.01,5.94,5.51,6.001687461
6.5,6.3,6.49,6.476731027
6.27,5.45,5.96,6.181977462
6.1,6.01,6.06,6.03135929
6.32,6.53,6.27,6.401156532
6,5.96,5.91,6.040373872
6,6.04,5.9,6.061813678
6.04,5.94,6.12,6.168390544
5.66,5.43,5.86,5.828912544
5.8,5.67,6.59,6.301357909
5.89,5.96,6.14,6.134838701
6.13,6.19,6.42,6.359837355
6.02,5.99,6.24,6.348791272
5.92,5.97,5.96,6.039098043
6.11,6.3,6.46,6.452115386
5.75,5.74,5.82,5.863527
6.08,6.35,6.5,6.531957579
6.46,6.48,6.53,6.576987592
5.93,5.9,5.99,6.046657442
5.36,5.8,5.85,5.838339611
5.7,5.4,6.21,6.418247438
6.18,6.11,6.16,6.311127029
5.98,5.96,6.06,6.043490131
6.03,5.44,6.02,6.129747357
6.17,6.09,6.19,6.033527486
6.23,6.07,6.08,6.306703925
5.95,6.01,5.85,5.864783929
5.92,5.94,6.05,5.852777284
6.21,6.05,6.16,6.209786433
6.08,6,6.08,5.95907672
5.98,5.82,6.21,6.214461563
5.48,5.37,5.61,5.64922535
6.19,5.22,6.23,6.246756401
