Difference,Mean_1,Std_Dev_1,Weight_1,Mean_2,Std_Dev_2,Weight_2
Wire number_minus_with_jig_1,67.29333586720209,15.130352308040816,0.5053881811591604,113.19143488524381,14.778158712796877,0.4946118188408395
Wire number_minus_with_jig_2,67.30526774971317,15.114501969515324,0.5055179850681882,113.21228360726715,14.788108091329665,0.4944820149318118
Wire number_minus_with_jig_3,67.31329643827564,15.129410403856369,0.5054456317701733,113.19935460180047,14.788639299400604,0.4945543682298267
Wire number_minus_with_jig_4,67.314582803978,15.112018572419819,0.5054591250205054,113.20393137969607,14.794747096770816,0.4945408749794946
Wire number_minus_no_jig_1,67.30076769121693,15.14174147136279,0.5055600775201681,113.20283721564073,14.785246942096261,0.494439922479832
Wire number_minus_no_jig_2,67.32483674045356,15.126932138726648,0.5056039001609803,113.20175961614422,14.785804566939243,0.49439609983901966
Wire number_minus_no_jig_3,67.31622347127268,15.141663920671409,0.5055780993022223,113.20201730018421,14.790765166122936,0.49442190069777775
with_jig_1_minus_with_jig_2,-0.007457718378478617,0.04356498346795342,0.90714832018577,0.18468813212955537,0.09576387727448654,0.09285167981423001
with_jig_1_minus_with_jig_3,0.007662397170563689,0.03152204413181687,0.7521093784199919,0.022614325758734535,0.10370280801289014,0.24789062158000819
with_jig_1_minus_with_jig_4,0.006100428731090208,0.050922157491456406,0.8356503439312718,0.05211736877109296,0.15931740701866842,0.16434965606872823
with_jig_1_minus_no_jig_1,-0.0016979802058155052,0.04018378886949585,0.7517790303828998,0.01120691213654914,0.1000137897221729,0.24822096961710005
with_jig_1_minus_no_jig_2,0.0027638061930159354,0.05323516991872823,0.9582381523899088,0.2031039071146315,0.2659541093176437,0.041761847610091114
with_jig_1_minus_no_jig_3,-0.006597981545642833,0.04943002889569281,0.8754565416886189,0.11131065116447823,0.06824716249620545,0.12454345831138104
with_jig_2_minus_with_jig_3,0.01223512811819214,0.0464404558884678,0.9132246405032326,-0.11740576016913579,0.06975461030271876,0.08677535949676746
with_jig_2_minus_with_jig_4,-5.6474034190622625e-05,0.043719478872560016,0.6666289804313873,0.009951667729246681,0.11657502659407712,0.3333710195686128
with_jig_2_minus_no_jig_1,-0.06805509022163718,0.12715757881063677,0.21599900762038893,0.007425717673396838,0.04462015361582834,0.7840009923796111
with_jig_2_minus_no_jig_2,0.003584256768889548,0.048343132292936936,0.8498067965495293,-0.015306241311849017,0.23421523362143937,0.15019320345047074
with_jig_2_minus_no_jig_3,-0.02982261784728425,0.14150366320380492,0.20724104020975198,0.004899208041486564,0.041411381375539145,0.7927589597902481
with_jig_3_minus_with_jig_4,0.06269586148944607,0.11786845511432104,0.17586399561332056,-0.010594717019500384,0.04528279110492896,0.8241360043866796
with_jig_3_minus_no_jig_1,-0.05511969305701442,0.1361182945489289,0.11897473117119917,-0.0037521111041365317,0.04693605801831274,0.8810252688288008
with_jig_3_minus_no_jig_2,0.005045674633601446,0.23297112458743374,0.11044333699024274,-0.0008945155055330818,0.04938722357504805,0.8895566630097573
with_jig_3_minus_no_jig_3,-0.003211227838114905,0.046668432221011316,0.8919913997171881,-0.0038671465979430693,0.16909602505100627,0.10800860028281188
with_jig_4_minus_no_jig_1,-0.4038720554997314,0.1610106641882775,0.033389911888861125,0.001373087295533429,0.059268306508803076,0.9666100881111389
with_jig_4_minus_no_jig_2,0.0006036134174684543,0.04781378854484654,0.8966401256609499,-0.029742122581445034,0.28014917360306807,0.10335987433905011
with_jig_4_minus_no_jig_3,0.0029476936583893967,0.04504670359985299,0.8171645167130644,-0.04367467508701254,0.183022838382494,0.18283548328693552
no_jig_1_minus_no_jig_2,0.049862673561444706,0.18854492561953157,0.11295313587046815,0.004501395691141798,0.043400735337878145,0.8870468641295318
no_jig_1_minus_no_jig_3,0.06030446669618353,0.14157119232312412,0.13766247490619452,-0.001994786763426714,0.0430986971285375,0.8623375250938055
no_jig_2_minus_no_jig_3,-0.1236244668758869,0.170777318697978,0.08619852440198976,0.00833073179122369,0.0483258514144314,0.9138014755980102
